name,abbr,title,n_sample,n_genes,n_tf,n_pc,sparsity,sparsity_tf,sparsity_pc
Brain - Amygdala,AMY,Gene TPMs for Brain - Amygdala,181,57853,1873,19295,0.4699391952914001,0.08045119213717468,0.10978597781751491
Brain - Frontal Cortex (BA9),BA9,Gene TPMs for Brain - Frontal Cortex (BA9),269,57853,1873,19295,0.4503370515337006,0.0761793992898497,0.10281820800311346
Bladder,BLA,Gene TPMs for Bladder,77,57853,1873,19295,0.4488478524051442,0.07833117229807032,0.10892735147723487
Blood,BLD,Gene TPMs for Whole Blood,803,57853,1873,19295,0.5494219805041588,0.14806794329061002,0.16741495112426613
Breast,BRE,Gene TPMs for Breast - Mammary Tissue.,514,73321,1866,19021,0.5060677166239367,0.07658133880499289,0.10539968419095258
Heart - Atrial Appendage,HRA,Gene TPMs for Heart - Atrial Appendage,461,73321,1866,19021,0.5338050395637925,0.09465187055494718,0.11907081578175782
Heart - Left Ventricle,HRV,Gene TPMs for Heart - Left Ventricle,452,73321,1866,19021,0.569297384648641,0.10716809416763888,0.13587823053513745
Brain - Hypothalamus,HYP,Gene TPMs for Brain - Hypothalamus,257,57853,1873,19295,0.4481178346757154,0.06370478705171378,0.09783345416193183
Kidney - Cortex,KDC,Gene TPMs for Kidney - Cortex,104,73321,1866,19021,0.5150868467738805,0.08140613405886718,0.1030283330569856
Lung,LUN,Gene TPMs for Lung,604,73321,1866,19021,0.49404248089526676,0.08058903487290872,0.09773991520699847
Muscle - Skeletal,MUS,Gene TPMs for Muscle - Skeletal,818,73321,1866,19021,0.5755596959866567,0.097470630010194,0.13833519997007554
Thyroid,THY,Gene TPMs for Thyroid,684,73321,1866,19021,0.4936533385080473,0.07520464702305961,0.1023287280817047
