config_Id,ensemble_tree_count,ensemble_tree_depth,distance_measure,clustering_method,clustering_option1,clustering_option2
c1,1000,5,euclidean_distance,hierarchical,inconsistency,-
c2,1000,5,euclidean_distance,hierarchical,one_cluster_10,-
c3,1000,5,euclidean_distance,community_detection,threshold_percentile_50,0.25
c4,1000,5,euclidean_distance,community_detection,threshold_percentile_50,0.5
c5,1000,5,euclidean_distance,community_detection,threshold_percentile_50,0.8
c6,1000,5,euclidean_distance,community_detection,threshold_percentile_75,0.25
c7,1000,5,euclidean_distance,community_detection,threshold_percentile_75,0.5
c8,1000,5,euclidean_distance,community_detection,threshold_percentile_75,0.8
c9,1000,5,euclidean_distance,community_detection,knn_5,0.25
c10,1000,5,euclidean_distance,community_detection,knn_5,0.5
c11,1000,5,euclidean_distance,community_detection,knn_5,0.8
c12,1000,5,euclidean_distance,hdbscan,-,-
c13,1000,5,manhattan_distance,hierarchical,inconsistency,-
c14,1000,5,manhattan_distance,hierarchical,one_cluster_10,-
c15,1000,5,manhattan_distance,community_detection,threshold_percentile_50,0.25
c16,1000,5,manhattan_distance,community_detection,threshold_percentile_50,0.5
c17,1000,5,manhattan_distance,community_detection,threshold_percentile_50,0.8
c18,1000,5,manhattan_distance,community_detection,threshold_percentile_75,0.25
c19,1000,5,manhattan_distance,community_detection,threshold_percentile_75,0.5
c20,1000,5,manhattan_distance,community_detection,threshold_percentile_75,0.8
c21,1000,5,manhattan_distance,community_detection,knn_5,0.25
c22,1000,5,manhattan_distance,community_detection,knn_5,0.5
c23,1000,5,manhattan_distance,community_detection,knn_5,0.8
c24,1000,5,manhattan_distance,hdbscan,-,-
c25,1000,5,canberra_distance,hierarchical,inconsistency,-
c26,1000,5,canberra_distance,hierarchical,one_cluster_10,-
c27,1000,5,canberra_distance,community_detection,threshold_percentile_50,0.25
c28,1000,5,canberra_distance,community_detection,threshold_percentile_50,0.5
c29,1000,5,canberra_distance,community_detection,threshold_percentile_50,0.8
c30,1000,5,canberra_distance,community_detection,threshold_percentile_75,0.25
c31,1000,5,canberra_distance,community_detection,threshold_percentile_75,0.5
c32,1000,5,canberra_distance,community_detection,threshold_percentile_75,0.8
c33,1000,5,canberra_distance,community_detection,knn_5,0.25
c34,1000,5,canberra_distance,community_detection,knn_5,0.5
