uid,target,sources,n_sources,note
8cf199e8e88a,ACADVL,AGMAT;ARID5B;BACH1;BCL6;CEBPD;CPTP;CRTC2;CYCS;DBP;DHX36;E2F8;EDN1;EGR1;ENO1;ESRRB;FOSL2;FOXO1;GADD45A;GOT1;HADHB;HLTF;HMGB3;KDM5D;KLF6;MIOS;MYC;NAP1L1;NNT;NR4A3;PUM3;RARA;RBM3;RBM8A;SMAP2;SREBF1;SSRP1;TGIF1;VDR;XBP1;ZFY;ZNF598,41,exp-coregnet_mus-tool-coregnet
e578d4ebc874,ACSL1,AGMAT;ARID5B;ATOH8;BACH1;BHLHE41;DBP;DHX36;E2F8;FHL2;FOSL2;FOXO1;HES1;HMGB3;KDM5D;KDM7A;MEF2C;MEOX2;MIOS;NR4A1;RBM8A;SIX2;SMAP2;SMPX;SSRP1;TFCP2L1;ZBTB7B,26,exp-coregnet_mus-tool-coregnet
b9e1a23b4c93,ACTA1,AGMAT;APEX2;ARID5B;ASAP3;ATOH8;BACH1;BCL6;CBFB;CEBPB;CEBPD;CRTC2;DHX36;ETV5;EZR;FOS;FOSL2;FOXO1;FOXO3;GADD45A;GTF2IRD1;GTPBP1;HMGB3;HTATIP2;KDM7A;KLF6;MAFG;MIOS;MYC;MYF6;NAP1L1;NFIL3;PUM3;RBM8A;RELB;RORA;RUNX1;SIX2;SMAP2;SMARCC1;SOX13;SSRP1;STAT5A;STK40;TGIF1;TIMELESS;TP53;VDR;XBP1;ZBTB43;ZBTB7B;ZNF143;ZNF213;ZNF438;ZNF598;ZNF622,55,exp-coregnet_mus-tool-coregnet
a41373e46f9a,ACTN2,ARID5B;ATOH8;BACH1;BCL6;CBFB;CRTC2;DHX36;EZR;FOSL2;FOXO1;GADD45A;GTF2IRD1;HES6;HMGA1;HMGB3;HTATIP2;KDM7A;MAFG;MIOS;MYC;NAP1L1;NFIL3;NR4A3;PUM3;RBM8A;RUNX1;SIX2;SMAP2;SMPX;SNAI3;SSRP1;STK40;TGIF1;TIMELESS;TP53;VDR;XBP1;ZBTB7B;ZNF438;ZNF598,40,exp-coregnet_mus-tool-coregnet
945d6f4a7114,ANKRD1,ARG2;ARID5A;ARID5B;ATF3;BCL3;BHLHE40;CEBPA;EGR1;ENO1;ETS2;EZR;FOS;FOSL1;FOXO1;GADD45A;HTATIP2;IRX3;KDM5D;KLF6;MLXIPL;MSC;MYC;MYOD1;MYOG;NME1;RELB;RUNX1;SIX2;SMAD9;SNAI3;TGIF1;XBP1,32,exp-coregnet_mus-tool-coregnet
531fbddbf13c,ANKRD2,ARG2;ARID5A;ATOH8;DDIT3;E2F8;EGR1;ETS2;FOS;FOSL2;FOXO1;GADD45A;HES6;HTATIP2;JUNB;KDM5D;KLF5;MAFF;MEF2C;MLXIPL;MYC;MYF6;MYOD1;NR4A2;NR4A3;RUNX1;SIX2;TFCP2L1;ZFY,28,exp-coregnet_mus-tool-coregnet
fec5e9581d3c,APOD,CBFB;CRTC2;DAZAP1;ETV5;EZR;GADD45A;GPD1;HMGB3;HTATIP2;KDM5D;MYC;NAP1L1;PUM3;RXRG;SMAP2;SOX13;SSRP1;STAT5A;TGIF1;TRIB1;VDR;XBP1;ZNF581;ZNF598,24,exp-coregnet_mus-tool-coregnet
a4a4f303f50b,ATP1A2,ABCF2;ADARB1;ARID5B;ASAP3;ASPSCR1;ATF6B;CAT;CBFB;DHX36;DNTTIP1;EGR1;FOSL2;FOXO1;FOXO3;GADD45A;GTF2IRD1;HBP1;HES6;HMGB2;HMGB3;HNRNPA1;HOMEZ;HOXA7;HSF4;HTATIP2;IRX3;KDM5D;KDM7A;MDM2;METTL3;MXI1;MYF6;MZF1;NAP1L1;NOC2L;PIR;PKM;POLD2;PRRX1;RFX3;RORC;SIX4;SIX5;SMAP2;SMARCC2;SND1;SOX13;SOX6;SSRP1;STAT5A;TEF;TFAP4;TFEB;TRIM28;TRMT1;VDR;XBP1;ZBTB16;ZFP3;ZFY;ZNF142;ZNF232;ZNF33B;ZNF438;ZNF441;ZNF581;ZNF598;ZSCAN18,68,exp-coregnet_mus-tool-coregnet
5df9d554a5bc,ATP2A1,AGMAT;ASAP3;CANX;CBFB;ETV5;EZR;FOSL2;GADD45A;GPD1;HES1;HES6;HMGB3;HTATIP2;KDM5D;KDM7A;MYC;MYF6;NAP1L1;NFIL3;NME1;NR4A3;PKM;RBM8A;RXRG;SIX2;SMAP2;SSRP1;TGIF1;TIMELESS;TP53;TPI1;VDR;XBP1;ZBTB7B;ZNF598;ZNF622,36,exp-coregnet_mus-tool-coregnet
a4b0000a3267,ATP2A2,APEX2;ARID5A;ARID5B;CBFB;CEBPA;CEBPD;DHX36;ETS2;EZR;FOSL2;FOXO1;GADD45A;GOT1;HMGB3;HTATIP2;KDM5D;KLF6;MIOS;MYC;MZF1;NAP1L1;NFIL3;NME1;NNT;NR1D1;PROX1;RBM8A;RELB;RUNX1;SMAP2;SSRP1;STAT5A;TGIF1;TP53;TP63;VDR;XBP1;ZFY;ZNF213;ZNF598,40,exp-coregnet_mus-tool-coregnet
55ff002e842c,ATP5F1B,ARID5B;ATOH8;BACH1;BCL6;CANX;CBFB;CEBPD;CRTC2;DHX36;ELK1;EZR;FOSL2;FOXO1;FOXO3;GADD45A;GOT1;HMGB3;HTATIP2;KDM7A;KLF6;MAFF;MAFG;MAX;MIOS;MYC;MYF6;NAP1L1;NFIL3;NPAS2;PHF1;PRNP;RARA;RBM8A;RELB;RORA;RUNX1;SIX2;SMAP2;SMARCC1;SSRP1;STAT5A;STK40;TGIF1;TP53;TPI1;ZNF213;ZNF219;ZNF581;ZNF598,49,exp-coregnet_mus-tool-coregnet
bf0040d41558,ATP5F1D,ARID5B;BACH1;CANX;CBFB;DBP;DHX36;ELK1;FOXO1;GADD45A;GOT1;HMGB3;HTATIP2;KDM7A;KLF13;KLF3;MAFF;MYF6;NAP1L1;NR4A3;PKM;RORA;RUNX1;RXRG;SNAI3;TCF15;TPI1;VDR;XBP1;ZNF598,29,exp-coregnet_mus-tool-coregnet
93045d4f326d,BAG3,ABCF2;AGMAT;ARID5B;ASAP3;BACH1;BCL6;CANX;CBFB;CRTC2;DHX36;FOSL2;FOXO1;GADD45A;GTF2IRD1;HES1;HMGB3;HTATIP2;KDM7A;MAFG;MIOS;NAP1L1;NFIL3;NPAS2;NR4A1;PSMD12;RBM8A;RELB;RUNX1;SIX2;SMAP2;SSRP1;STK40;VDR;XBP1;ZBTB43;ZBTB7B;ZNF598;ZNF622,38,exp-coregnet_mus-tool-coregnet
398962ad3fa3,BCL6,AGMAT;ARID5B;BCL6;BHLHE41;CEBPD;CPTP;DBP;E2F8;ESRRB;FOSL2;FOXO1;FOXO3;GADD45A;GPD1;GTF2IRD1;HES1;HLTF;HMGB3;HTATIP2;KDM5D;MEF2C;MIOS;MYC;NFIL3;NR4A1;NR4A2;NR4A3;PKM;RORA;RXRG;SMAP2;SMPX;SNAI3;SSRP1;TPI1;TRIB1;XBP1,37,exp-coregnet_mus-tool-coregnet
7dda975880a6,BIN1,ATF3;BAD;CEBPD;DRAP1;E2F8;EGR1;ETS2;FHL2;FOS;HES6;HMGA1;HMGB2;HTATIP2;IRX3;JUNB;KDM5D;LBX1;MAFA;MAZ;MEOX2;MIOS;MYOD1;MYPOP;NANOS1;NFIC;NPAS2;RXRA;SIX2;SOX17;STK40;TBX1;THRA;TRIB1;UBXN1;ZBED1;ZBTB18;ZBTB47;ZBTB7A;ZBTB7B;ZNF213;ZNF219;ZNF385A;ZNF524;ZNF579;ZNF598;ZNF622;ZNF628;ZNF844,48,exp-coregnet_mus-tool-coregnet
9a62b86c777d,CA3,AGMAT;ARID5B;ASAP3;BACH1;BCL6;CBFB;DHX36;ETS2;EZR;FOSL2;FOXO1;FOXO3;GADD45A;GTF2IRD1;GTPBP1;HES6;HMGB3;HTATIP2;KDM7A;KLF15;MIOS;MYC;MYF6;MZF1;NAP1L1;NFIL3;NPAS2;RBM8A;SMAP2;SSRP1;STAT5A;STK40;TGIF1;VDR;XBP1;ZNF598,36,exp-coregnet_mus-tool-coregnet
4e388ff331a5,CASQ1,AGMAT;APEX2;ARID5B;ASAP3;BACH1;BCL6;CANX;CBFB;CEBPA;CEBPB;CEBPD;CRTC2;DHX36;E2F4;ELK1;ENO1;EZR;FOSL2;FOXO1;FOXO3;GADD45A;GTF2IRD1;GTPBP1;HES6;HMGB3;HTATIP2;KDM7A;KLF6;MAFG;MIOS;MYC;NAP1L1;NFIL3;NPAS2;PUM3;RBM8A;RELB;RORA;RUNX1;SIX2;SMAP2;SSRP1;STAT5A;STK40;TGIF1;TIMELESS;TP53;VDR;XBP1;ZBTB38;ZBTB43;ZBTB7B;ZFHX3;ZNF213;ZNF598;ZNF622;ZNF628,57,exp-coregnet_mus-tool-coregnet
d2630a098388,CHCHD10,ANXA1;ARID5A;ARID5B;ATF3;BACH1;CANX;CBFB;CEBPD;CLK1;DAB2;E2F8;EDN1;EGR1;ENO1;ETS2;FLI1;FOS;FOSL1;FOXO3;FUBP1;GADD45A;HTATIP2;JAZF1;KDM5D;KDM7A;KLF6;MAFF;MAFK;MDM2;MEF2C;MEOX2;MESP1;MYC;MYF6;NFE2L2;NFKB2;NR1D2;PLAGL1;PRKAA1;PRKAA2;PRNP;RBM8A;RELB;RORA;RUNX1;SMAD9;SMARCC1;STAT5A;TCF15;TFAP4;TIMELESS;TP53;TP63;XBP1;ZNF266;ZNF274;ZNF704,57,exp-coregnet_mus-tool-coregnet
ef32601445fb,CKM,APEX2;ARID5A;ARID5B;ASAP3;ATOH8;BACH1;BAX;BCL6;CANX;CBFB;CEBPA;CEBPB;CEBPD;CRTC2;DAZAP1;DHX36;ENO1;ETS2;EZR;FOS;FOSL2;FOXO1;FOXO3;GADD45A;GTF2IRD1;GTF3C2;GTPBP1;HEY1;HMGB3;HNRNPA1;HTATIP2;KDM7A;KLF6;KLF9;MAFG;MAX;MIOS;MYC;MYF6;MZF1;NAP1L1;NFIL3;NFKB2;NME1;PDCD11;PPP1R10;PRRX1;PUM3;RBM8A;RELB;RUNX1;SMAP2;SMARCC1;SOX13;SSRP1;STAT5A;STAT6;TFAP4;TGIF1;TIMELESS;TP53;TRMT1;VDR;XBP1;YOD1;ZBTB16;ZNF598;ZNF622;ZNF655,69,exp-coregnet_mus-tool-coregnet
