uid,target,sources,n_sources,note
f5b4721ccdb8,ACADVL,ARID5A;BCL3;BCL6;CEBPD;CIC;CREB3L1;DUSP22;ELF3;EPAS1;ETS2;FOSL2;GLIS2;GTPBP6;HSF1;HSF4;IRF1;IRF3;IRF7;JUNB;MAFG;MBNL2;MLXIPL;MYCL;NFIB;NFIL3;NFKB2;NPDC1;NR1H2;PHF1;POU5F1;RELA;RELB;RFC2;STAT3;TAGLN2;TEAD4;TFE3;TRIB2;TRIB3;TRIP10;TRMT1;ZNF189;ZNF276;ZNF513;ZNF598;ZNF700;ZNF710;ZNF787,48,exp-coregnet_pan-tool-coregnet
900d553aadf8,ACTB,ANXA11;BCL3;CEBPD;EDN1;ELF3;ENO1;ETS2;EZR;FOSL2;GLIS2;HCLS1;HIF1A;HMGB3;HNRNPA1;ID2;IRF1;JUNB;KDM5D;KLF5;NFE2L2;NFKB1;NMI;PKM;PRNP;RAN;RBPJL;RELB;SPI1;SREBF2;STAT3;TAGLN2;TRIB2;TRIM21;UBB;YWHAZ;ZNF217,36,exp-coregnet_pan-tool-coregnet
be134d576827,ACTG1,APEX1;ASCC1;ATF6;AVEN;BCL3;BCL6;BHLHA15;CEBPD;ELF3;EPAS1;ETS2;FOSB;FOSL2;HCLS1;HMGB3;HNRNPA1;HSF1;JUNB;KDM5D;KLF13;NFIC;NR4A1;PSMA6;RBM3;RFC2;SNAI2;SND1;SRP9;SSRP1;STAT3;TAGLN2;TEAD4;TRIM28;UBXN1;XBP1;YWHAZ;ZNF189,37,exp-coregnet_pan-tool-coregnet
49eda7cf3094,AKR7A3,ASCC1;ATF6;BCL3;BCL6;BHLHA15;CEBPD;CREB3L1;EGR1;ETV5;FOS;FOSB;FOSL2;KDM5D;KLF10;KLF13;MYCL;NR4A1;POU5F1;RFC2;RORC;TEAD4;UBB;XBP1;ZBTB16;ZNF710,25,exp-coregnet_pan-tool-coregnet
dd5b739c0d07,ALB,ATF3;BCL3;BCL6;BHLHE40;CEBPD;EGR1;FOS;FOSB;HES6;IRF7;JUNB;KDM5D;KLF13;MSC;MYCL;NR1D1;NR4A1;POU5F1;RELB;TAGLN2;TRIB2;UBB,22,exp-coregnet_pan-tool-coregnet
516b34bc92c3,AMY2A,ARID5A;ATF3;BCL3;BCL6;BHLHE40;CEBPB;CEBPD;EDN1;ELF3;ENO1;ETS2;FOSL2;GLIS2;IRF1;IRF7;IRF9;JUNB;KDM5D;KLF6;MAFF;MSC;MYCL;NFE2L2;NFIL3;NFKB2;NR1D1;NR4A1;POU5F1;RELB;RUFY3;STAT3;TAGLN2;TRIB2;TRIP10;UBB;ZNF710,36,exp-coregnet_pan-tool-coregnet
4f4034ad7daa,AMY2B,ANXA1;ARID5A;ASCC1;ATF3;ATF6;BCL3;BCL6;BHLHE40;CEBPB;CEBPD;CIC;CREB3L1;EDN1;EGR1;ELF3;ENO1;EPAS1;ETS2;ETV4;FOS;FOSL2;GLIS2;HCLS1;HIF1A;HMGB3;IRF1;IRF7;IRF9;JUNB;KDM5D;KLF16;KLF6;MSC;MYC;MYCL;NFE2L2;NFIL3;NFKB2;RELB;RFC2;RUFY3;SPI1;STAT3;TAGLN2;TEAD4;TRAF4;TRIB2;TRIP10;XBP1;ZNF710,50,exp-coregnet_pan-tool-coregnet
f851c628d81b,ANPEP,ACO1;ASCC1;BCL3;BCL6;BHLHA15;BHLHE40;CEBPD;CREB3L1;EGR1;ELF3;ETS2;ETV5;FOS;FOSB;FOSL2;HIF1A;ID2;IRF1;JUNB;KDM5D;KLF10;KLF13;KLF6;MNX1;MSC;MYC;NR4A1;POU5F1;RELB;RFC2;SNAI2;SOX4;STAT3;TAGLN2;TEAD4;TRIB1;TRIB2;UBB;XBP1;ZBTB16;ZNF710;ZNF85,42,exp-coregnet_pan-tool-coregnet
db03f4a891ff,AQP8,ABCF2;AHR;ANXA1;ANXA11;ARID5A;ASCC1;ATF3;ATF6;BCL3;BCL6;BHLHE40;CD59;CEBPB;CEBPD;CERS2;CIC;CREB3L1;CTNNB1;DUSP22;EBF4;EDN1;EGR1;ELF3;ENO1;EPAS1;ETS2;ETV4;EZR;FOS;FOSL2;GLIS2;HCLS1;HES1;HIF1A;HMGB3;HNRNPA1;ID2;IRF1;IRF7;IRF9;JUNB;KDM5D;KLF16;KLF3;KLF5;KLF6;MAFF;MAFG;MBNL2;MLXIP;MSC;MYC;NFE2L2;NFIL3;NFKB2;NME1;NMI;NR1D1;PHLDA2;PKM;POU5F1;PRNP;PROX1;PUM3;RAN;RARA;RBM7;RBMS1;RELA;RELB;RFC2;RUFY3;SCAND1;SMARCA1;SNAI1;SNAI2;SOX4;SPI1;SRF;STAT1;STAT3;STAT6;TAGLN2;TEAD2;TEAD3;TEAD4;TFE3;TPI1;TRAF4;TRIB1;TRIB2;TRIB3;TRIM21;TRIM69;TRIP10;XBP1;YWHAE;YWHAZ;ZBTB16;ZNF189;ZNF217;ZNF513;ZNF598;ZNF710;ZXDC,105,exp-coregnet_pan-tool-coregnet
955f85eaca69,ATF4,ASCC1;ATF3;ATF4;BCL3;BCL6;CBFB;CEBPB;CEBPD;CPSF4;DUSP22;ELF3;ERF;FOSB;FOSL2;GLIS2;GMEB2;HES6;HSF1;HSF4;JUNB;KDM5D;MDM2;MLXIP;MYCL;NFIL3;RELB;RFC2;SOX18;STAT3;TAGLN2;TEAD4;TRAF4;TRIB2;TRIB3;TRIM28;UBB;UBXN1;XBP1;ZNF513;ZNF524;ZNF598;ZNF710,42,exp-coregnet_pan-tool-coregnet
