uid,target,sources,n_source,silhouette_score,sil_gene_scores,sil_score_optimal,note,cluster_note
4e13ba41a395,ABCA2,FLI1;ZNF322;ZSCAN9;ZFY,4,0.0497,0.14712;0.13968;0.11857;-0.20655,False,c1,hc-inco-t-0.9248-nc-26
81e41229e5a5,ABCA2,SMAD7;ZNF557;LEF1;AKR1A1,4,0.13093,0.21542;0.19999;0.10979;-0.00149,False,c1,hc-inco-t-0.9248-nc-26
168166b34655,ABCA2,SNRNP70;ARFGAP1,2,0.07827,0.08742;0.06912,False,c1,hc-inco-t-0.9248-nc-26
bab9afb05784,ABCA2,BNC2;POU2F2;RUNX1;SP9;ZKSCAN1;FOXP2;DAB2;TRIM28;IRF3,9,0.05761,0.12626;0.11434;0.11326;0.09928;0.06811;0.04480;0.03929;-0.03587;-0.05098,False,c1,hc-inco-t-0.9248-nc-26
a5929ef7922d,ABCA2,USF2;PUM3,2,0.19796,0.22624;0.16969,False,c1,hc-inco-t-0.9248-nc-26
34dfbf04c0ca,ABCA2,GLYCTK;MYBL1;ZNF114;SOX8;TBX6;STAT6;GTF3C5;ZNF239;CERS4;ZNF536,10,0.17948,0.34252;0.30421;0.28544;0.26997;0.25085;0.16665;0.14120;0.12214;-0.02164;-0.06650,False,c1,hc-inco-t-0.9248-nc-26
ff77843cfc8f,ABCA2,NFATC3;RXRG,2,0.35248,0.37667;0.32830,True,c1,hc-inco-t-0.9248-nc-26
890a9114ac0a,ABCA2,ZNF397;MYRF;TFEB,3,0.25858,0.29986;0.27498;0.20089,False,c1,hc-inco-t-0.9248-nc-26
040594034309,ACADVL,TCF3;ACAA1;IRF3;CYB5R1;GTF2IRD1;HMBOX1;HDAC1;CREB3L4;IVD;ZXDC;TRIM28;SNRNP70,12,0.13811,0.24706;0.24562;0.16387;0.16024;0.15239;0.14015;0.13193;0.12009;0.11542;0.07839;0.06444;0.03776,True,c1,hc-inco-t-0.8382-nc-29
f2a0affcc9d5,ACADVL,ZNF629;JDP2,2,0.08126,0.12898;0.03353,False,c1,hc-inco-t-0.8382-nc-29
0417332705d2,ACADVL,RNF114;USP39;NRF1;ILF3;ZNF763,5,0.04211,0.10439;0.07953;0.02790;-0.00008;-0.00117,False,c1,hc-inco-t-0.8382-nc-29
b0eb00ca55d1,ACADVL,DPF2;GTF3C5,2,0.0238,0.07213;-0.02453,False,c1,hc-inco-t-0.8382-nc-29
7da05c953983,ACADVL,HNRNPUL1;PPP1R10,2,0.04416,0.04633;0.04200,False,c1,hc-inco-t-0.8382-nc-29
23578b1156f3,ACADVL,ZNF766;GTF3C2,2,0.00452,0.03001;-0.02098,False,c1,hc-inco-t-0.8382-nc-29
fb0f3bdd4c85,ACADVL,PHF12;RELA,2,0.0703,0.08474;0.05585,False,c1,hc-inco-t-0.8382-nc-29
ad2b148f8a12,ACADVL,RREB1;TCF7L2,2,0.03672,0.06151;0.01194,False,c1,hc-inco-t-0.8382-nc-29
501b129d69bf,ACADVL,ZNF687;CRTC2,2,0.03442,0.04721;0.02164,False,c1,hc-inco-t-0.8382-nc-29
4cf69640c765,ACADVL,METTL3;PHF1,2,0.00043,0.00436;-0.00350,False,c1,hc-inco-t-0.8382-nc-29
082a1b9b73dd,ACADVL,ARID3B;BCL6,2,0.03994,0.05810;0.02178,False,c1,hc-inco-t-0.8382-nc-29
0166669f94c0,ACADVL,ESRRA;HSF4;KMT2B,3,0.09186,0.13991;0.09481;0.04086,False,c1,hc-inco-t-0.8382-nc-29
e9d01a9e242e,ACADVL,ZNF419;PPP5C;ABL1,3,0.02503,0.05035;0.01353;0.01121,False,c1,hc-inco-t-0.8382-nc-29
85f7e51f905f,ACTB,UBE2V1;NFYC;NUCB1,3,0.01996,0.07263;0.00756;-0.02030,False,c1,hc-inco-t-0.8807-nc-23
8a073b09d88e,ACTB,HNRNPLL;KAT7;USP39,3,0.02998,0.06024;0.05857;-0.02887,False,c1,hc-inco-t-0.8807-nc-23
2c8d34cf9a92,ACTB,LRRFIP1;DUSP22;RFC2;PQBP1;APEX2;ZBTB22;ANXA11,7,0.00055,0.08545;0.03458;0.01465;-0.01725;-0.01865;-0.03205;-0.06289,False,c1,hc-inco-t-0.8807-nc-23
577b4a77d88d,ACTB,MRPL2;ZNF263;PSMC2,3,0.0293,0.06110;0.01772;0.00907,False,c1,hc-inco-t-0.8807-nc-23
ba28d30d3c9c,ACTB,ZNF597;SF1,2,0.03438,0.06646;0.00229,False,c1,hc-inco-t-0.8807-nc-23
8fd93b8b3ae5,ACTB,P4HB;ZNF329,2,0.03769,0.07201;0.00337,False,c1,hc-inco-t-0.8807-nc-23
1a27000bc889,ACTB,ZNF513;HMGA1;DAZAP1;E2F4,4,0.08999,0.14665;0.14008;0.05292;0.02032,False,c1,hc-inco-t-0.8807-nc-23
13f38047a805,ACTB,CNOT4;SMAP2,2,0.03041,0.03909;0.02173,False,c1,hc-inco-t-0.8807-nc-23
