cluster_uid,target,sources,n_source,silhouette_score,sil_gene_scores,sil_score_optimal,note,cluster_note,shortest_PPI_path_score_hippie,shortest_PPI_path_score_stringdb,shortest_PPI_path_score_biogrid,shared_PPI_partners_score_hippie,shared_PPI_partners_score_stringdb,shared_PPI_partners_score_biogrid,goa_similarity_lin,goa_similarity_resnik,goa_similarity_jc,grn_collectri_precision,grn_collectri_recall,grn_collectri_jaccard
4e13ba41a395,ABCA2,FLI1;ZNF322;ZSCAN9;ZFY,4,0.0497,0.14712;0.13968;0.11857;-0.20655,False,c1,hc-inco-t-0.9248-nc-26,0.33333,0.38889,0.33333,0.0,0.67713,0.0,0.78947,1.9864,0.77493,0.0,0.0,0.0
81e41229e5a5,ABCA2,SMAD7;ZNF557;LEF1;AKR1A1,4,0.13093,0.21542;0.19999;0.10979;-0.00149,False,c1,hc-inco-t-0.9248-nc-26,0.52778,0.5,0.55556,2.63505,9.78258,2.73512,0.27718,0.91236,0.26383,0.0,0.0,0.0
168166b34655,ABCA2,SNRNP70;ARFGAP1,2,0.07827,0.08742;0.06912,False,c1,hc-inco-t-0.9248-nc-26,0.5,0.5,0.5,4.16355,0.03399,4.74582,0.15541,0.32053,0.21633,0.0,0.0,0.0
bab9afb05784,ABCA2,BNC2;POU2F2;RUNX1;SP9;ZKSCAN1;FOXP2;DAB2;TRIM28;IRF3,9,0.05761,0.12626;0.11434;0.11326;0.09928;0.06811;0.04480;0.03929;-0.03587;-0.05098,False,c1,hc-inco-t-0.9248-nc-26,0.44676,0.48611,0.47685,2.95586,4.6568,3.33578,0.50571,1.48605,0.45591,0.0,0.0,0.0
a5929ef7922d,ABCA2,USF2;PUM3,2,0.19796,0.22624;0.16969,False,c1,hc-inco-t-0.9248-nc-26,0.5,0.5,0.5,1.44608,0.59438,2.50827,0.42658,0.99718,0.37953,0.0,0.0,0.0
34dfbf04c0ca,ABCA2,GLYCTK;MYBL1;ZNF114;SOX8;TBX6;STAT6;GTF3C5;ZNF239;CERS4;ZNF536,10,0.17948,0.34252;0.30421;0.28544;0.26997;0.25085;0.16665;0.14120;0.12214;-0.02164;-0.06650,False,c1,hc-inco-t-0.9248-nc-26,0.38889,0.38704,0.41481,0.8313,0.58539,1.21515,0.43737,1.12963,0.43434,0.0,0.0,0.0
ff77843cfc8f,ABCA2,NFATC3;RXRG,2,0.35248,0.37667;0.32830,True,c1,hc-inco-t-0.9248-nc-26,0.33333,0.5,0.33333,0.0,0.59718,0.0,0.71773,2.25198,0.61142,0.0,0.0,0.0
890a9114ac0a,ABCA2,ZNF397;MYRF;TFEB,3,0.25858,0.29986;0.27498;0.20089,False,c1,hc-inco-t-0.9248-nc-26,0.38889,0.5,0.44444,0.67246,0.71949,1.9363,0.52119,1.43686,0.50205,0.0,0.0,0.0
040594034309,ACADVL,TCF3;ACAA1;IRF3;CYB5R1;GTF2IRD1;HMBOX1;HDAC1;CREB3L4;IVD;ZXDC;TRIM28;SNRNP70,12,0.13811,0.24706;0.24562;0.16387;0.16024;0.15239;0.14015;0.13193;0.12009;0.11542;0.07839;0.06444;0.03776,True,c1,hc-inco-t-0.8382-nc-29,0.48232,0.46465,0.4899,7.88565,7.2984,7.57697,0.35013,1.08655,0.32256,0.0,0.0,0.0
f2a0affcc9d5,ACADVL,ZNF629;JDP2,2,0.08126,0.12898;0.03353,False,c1,hc-inco-t-0.8382-nc-29,0.5,0.5,0.5,21.66012,1.9865,3.21052,0.55136,1.25429,0.54765,0.0,0.0,0.0
0417332705d2,ACADVL,RNF114;USP39;NRF1;ILF3;ZNF763,5,0.04211,0.10439;0.07953;0.02790;-0.00008;-0.00117,False,c1,hc-inco-t-0.8382-nc-29,0.41667,0.48333,0.46667,8.78783,5.39091,9.92529,0.38253,0.89228,0.40452,0.0,0.0,0.0
b0eb00ca55d1,ACADVL,DPF2;GTF3C5,2,0.0238,0.07213;-0.02453,False,c1,hc-inco-t-0.8382-nc-29,0.5,0.5,0.5,32.3722,1.60473,15.58378,0.20046,0.39181,0.26501,0.0,0.0,0.0
7da05c953983,ACADVL,HNRNPUL1;PPP1R10,2,0.04416,0.04633;0.04200,False,c1,hc-inco-t-0.8382-nc-29,0.5,0.5,0.5,37.93762,3.7531,37.89129,0.34965,0.88295,0.35488,0.0,0.0,0.0
23578b1156f3,ACADVL,ZNF766;GTF3C2,2,0.00452,0.03001;-0.02098,False,c1,hc-inco-t-0.8382-nc-29,0.5,0.33333,0.5,1.13188,0.0,2.53658,0.37787,0.78325,0.412,0.0,0.0,0.0
fb0f3bdd4c85,ACADVL,PHF12;RELA,2,0.0703,0.08474;0.05585,False,c1,hc-inco-t-0.8382-nc-29,0.5,0.5,0.5,3.76303,2.67682,10.29466,0.32753,1.25304,0.25045,0.0,0.0,0.0
ad2b148f8a12,ACADVL,RREB1;TCF7L2,2,0.03672,0.06151;0.01194,False,c1,hc-inco-t-0.8382-nc-29,0.5,0.5,0.5,36.71446,14.65755,29.05877,0.49759,1.82252,0.41019,0.0,0.0,0.0
501b129d69bf,ACADVL,ZNF687;CRTC2,2,0.03442,0.04721;0.02164,False,c1,hc-inco-t-0.8382-nc-29,0.33333,0.33333,0.5,0.0,0.0,2.22019,0.58412,1.17111,0.53979,0.0,0.0,0.0
4cf69640c765,ACADVL,METTL3;PHF1,2,0.00043,0.00436;-0.00350,False,c1,hc-inco-t-0.8382-nc-29,0.5,0.5,0.5,15.2473,4.05675,5.66628,0.34307,1.25805,0.27632,0.0,0.0,0.0
082a1b9b73dd,ACADVL,ARID3B;BCL6,2,0.03994,0.05810;0.02178,False,c1,hc-inco-t-0.8382-nc-29,0.5,0.5,0.5,4.39638,4.34143,5.88842,0.44578,1.17826,0.37011,0.0,0.0,0.0
0166669f94c0,ACADVL,ESRRA;HSF4;KMT2B,3,0.09186,0.13991;0.09481;0.04086,False,c1,hc-inco-t-0.8382-nc-29,0.5,0.44444,0.5,1.54199,1.50539,1.48403,0.5575,1.41572,0.54049,0.0,0.0,0.0
e9d01a9e242e,ACADVL,ZNF419;PPP5C;ABL1,3,0.02503,0.05035;0.01353;0.01121,False,c1,hc-inco-t-0.8382-nc-29,0.5,0.38889,0.44444,5.00653,4.27169,5.76231,0.32303,1.05388,0.27867,0.0,0.0,0.0
85f7e51f905f,ACTB,UBE2V1;NFYC;NUCB1,3,0.01996,0.07263;0.00756;-0.02030,False,c1,hc-inco-t-0.8807-nc-23,0.5,0.44444,0.5,1.94491,0.37222,2.01057,0.31884,0.75443,0.33147,0.0,0.0,0.0
8a073b09d88e,ACTB,HNRNPLL;KAT7;USP39,3,0.02998,0.06024;0.05857;-0.02887,False,c1,hc-inco-t-0.8807-nc-23,0.5,0.5,0.5,21.24454,2.33445,17.75165,0.3084,0.99719,0.28281,0.0,0.0,0.0
2c8d34cf9a92,ACTB,LRRFIP1;DUSP22;RFC2;PQBP1;APEX2;ZBTB22;ANXA11,7,0.00055,0.08545;0.03458;0.01465;-0.01725;-0.01865;-0.03205;-0.06289,False,c1,hc-inco-t-0.8807-nc-23,0.45238,0.4127,0.49206,3.02526,2.20903,3.17635,0.34955,0.95779,0.33125,0.0,0.0,0.0
577b4a77d88d,ACTB,MRPL2;ZNF263;PSMC2,3,0.0293,0.06110;0.01772;0.00907,False,c1,hc-inco-t-0.8807-nc-23,0.5,0.44444,0.5,2.62515,16.87162,4.2988,0.24358,0.61022,0.24857,0.0,0.0,0.0
ba28d30d3c9c,ACTB,ZNF597;SF1,2,0.03438,0.06646;0.00229,False,c1,hc-inco-t-0.8807-nc-23,0.5,0.33333,0.5,1.69109,0.0,1.22123,0.57761,1.23568,0.49757,0.0,0.0,0.0
8fd93b8b3ae5,ACTB,P4HB;ZNF329,2,0.03769,0.07201;0.00337,False,c1,hc-inco-t-0.8807-nc-23,0.5,0.25,0.5,2.4183,0.0,2.26493,0.22192,0.56249,0.21921,0.0,0.0,0.0
1a27000bc889,ACTB,ZNF513;HMGA1;DAZAP1;E2F4,4,0.08999,0.14665;0.14008;0.05292;0.02032,False,c1,hc-inco-t-0.8807-nc-23,0.44444,0.41667,0.52778,3.29543,2.57027,6.38053,0.45982,1.21868,0.41666,0.0,0.0,0.0
13f38047a805,ACTB,CNOT4;SMAP2,2,0.03041,0.03909;0.02173,False,c1,hc-inco-t-0.8807-nc-23,0.5,0.33333,0.5,17.4766,0.0,20.75273,0.59373,1.00699,0.66257,0.0,0.0,0.0
4e5892929547,ACTB,MBD2;ZNF746,2,0.01895,0.03474;0.00316,False,c1,hc-inco-t-0.8807-nc-23,0.5,0.33333,0.5,0.18541,0.0,1.27983,0.44548,1.26869,0.42393,0.0,0.0,0.0
8f6b2fcdc435,ACTB,PSMA6;WRNIP1,2,0.06522,0.06880;0.06164,False,c1,hc-inco-t-0.8807-nc-23,0.5,0.5,0.5,7.50327,0.49033,15.33791,0.43937,1.45942,0.34511,0.0,0.0,0.0
bd32fd8f8b6b,ACTB,E4F1;PPP5C;TRIM28,3,0.08679,0.09732;0.09193;0.07111,False,c1,hc-inco-t-0.8807-nc-23,0.5,0.44444,0.5,12.54707,7.32067,11.91595,0.46378,1.44474,0.37492,0.0,0.0,0.0
d045326d804d,ACTB,TMEM33;ASH2L;RUFY3,3,0.0195,0.05387;0.00542;-0.00079,False,c1,hc-inco-t-0.8807-nc-23,0.5,0.30556,0.5,6.45391,0.0,5.84833,0.26003,0.88488,0.21869,0.0,0.0,0.0
