exp,dataset,target,active_source_pcr,sparsity_pcr,total_root_nodes,total_sources,count_min,count_max,count_avg,count_median,count_std,count_skew
ps1_amy,AMY,ABCA2,100.0,96.82,62,1370,0.0,405.0,4.23638384586884,2.0,12.49129,18.03729
ps1_amy,AMY,ACADVL,100.0,94.18,73,1520,0.0,103.0,2.2738537794299876,1.0,3.59277,10.79557
ps1_amy,AMY,ACTB,100.0,93.28,73,1486,0.0,67.0,2.03622392974753,1.0,2.75436,8.29176
ps1_amy,AMY,ACTG1,100.0,92.39,54,1482,0.0,86.0,2.4157358738501973,1.0,3.73636,8.20313
ps1_amy,AMY,AHCYL1,100.0,94.27,63,1417,0.0,163.0,2.3653771004298556,1.0,5.49693,14.73204
ps1_amy,AMY,ALDOC,100.0,83.5,19,1467,0.0,136.0,3.1017833840800346,2.0,6.12179,8.7255
ps1_amy,AMY,ANXA5,100.0,94.02,75,1535,0.0,99.0,2.097529069767442,1.0,2.8798,13.30015
ps1_amy,AMY,AP2M1,100.0,92.92,39,1413,0.0,313.0,3.5176832393644286,1.0,10.75028,15.97546
ps1_amy,AMY,APLP1,100.0,89.69,29,1480,0.0,280.0,3.191725073479539,2.0,8.1484,17.14871
ps1_amy,AMY,APLP2,100.0,93.87,65,1520,0.0,211.0,2.5820944829864554,1.0,5.8833,19.83085
ps1_amy,AMY,APOD,100.0,91.63,36,1472,0.0,126.0,3.0270513976555455,2.0,5.65348,10.41043
ps1_amy,AMY,APOE,100.0,85.07,21,1443,0.0,169.0,3.3457881936767633,2.0,6.8051,10.17062
ps1_amy,AMY,APP,100.0,91.85,49,1512,0.0,137.0,2.553219665618275,1.0,4.83714,13.24139
ps1_amy,AMY,AQP4,100.0,87.9,32,1458,0.0,147.0,2.702851071365327,1.0,5.10068,10.50295
ps1_amy,AMY,ARF1,100.0,92.29,42,1498,0.0,166.0,3.052794390595999,2.0,6.93767,12.50079
ps1_amy,AMY,ARF3,100.0,89.82,41,1482,0.0,126.0,2.53443258971872,1.0,4.33538,10.13943
ps1_amy,AMY,ARF5,100.0,91.43,48,1476,0.0,144.0,2.5356730927665185,1.0,4.73419,12.64806
ps1_amy,AMY,ARHGDIG,100.0,89.5,31,1426,0.0,160.0,2.9054286945282204,2.0,5.85763,11.43237
ps1_amy,AMY,ARL2,100.0,87.05,32,1471,0.0,108.0,2.524028210595375,1.0,4.22111,8.73442
ps1_amy,AMY,ARL6IP1,100.0,92.57,63,1538,0.0,78.0,2.1795192441294984,1.0,3.18849,9.24171
ps1_amy,AMY,ARL6IP4,100.0,86.49,21,1452,0.0,156.0,3.3091306459446335,2.0,6.99037,10.07523
ps1_amy,AMY,ARPC3,100.0,91.27,31,1465,0.0,379.0,3.4562421185372005,2.0,10.00007,20.98521
ps1_amy,AMY,ATF4,100.0,94.35,79,1536,0.0,65.0,2.213368359603036,1.0,3.1426,7.97829
ps1_amy,AMY,ATP1A2,100.0,85.78,18,1369,0.0,308.0,3.617865296803653,2.0,10.57196,16.41736
ps1_amy,AMY,ATP1A3,100.0,93.04,46,1457,0.0,218.0,2.7724640789191506,1.0,6.81204,16.28121
ps1_amy,AMY,ATP1B2,100.0,92.68,51,1438,0.0,81.0,2.397839448686906,1.0,4.21874,8.96427
ps1_amy,AMY,ATP5F1B,100.0,89.67,34,1509,0.0,262.0,2.8303133257833144,1.0,7.10771,17.68731
ps1_amy,AMY,ATP5F1D,100.0,85.79,14,1439,0.0,582.0,4.423681453021306,2.0,15.58028,23.90586
ps1_amy,AMY,ATP5ME,100.0,89.63,32,1487,0.0,203.0,3.031205673758865,2.0,5.95408,14.01896
ps1_amy,AMY,ATP5MF,100.0,86.83,31,1487,0.0,125.0,2.572322899505766,1.0,4.95149,10.9661
ps1_amy,AMY,ATP5MK,100.0,88.87,32,1491,0.0,191.0,2.5656432473158786,1.0,6.12918,13.9054
ps1_amy,AMY,ATP5PD,100.0,89.91,32,1460,0.0,268.0,3.0398812049215103,1.0,8.73336,17.65336
ps1_amy,AMY,ATP5PF,100.0,91.59,39,1459,0.0,479.0,2.7920150501672243,1.0,9.38219,31.84663
ps1_amy,AMY,ATP5PO,100.0,89.38,37,1462,0.0,143.0,2.459101983988862,1.0,5.5725,12.32551
ps1_amy,AMY,ATP6V0C,100.0,92.87,49,1494,0.0,192.0,2.865568747606281,1.0,6.33976,13.62232
ps1_amy,AMY,ATP6V1E1,100.0,88.38,30,1472,0.0,227.0,2.8815507500487043,1.0,7.1475,15.1408
ps1_amy,AMY,ATP6V1F,100.0,90.2,35,1441,0.0,202.0,2.903278025091056,1.0,7.3025,14.57333
ps1_amy,AMY,ATP6V1G2,100.0,89.04,39,1453,0.0,105.0,2.544122383252818,1.0,4.9206,10.47787
ps1_amy,AMY,B2M,100.0,97.81,192,1232,0.0,70.0,1.7586671802773497,1.0,2.02444,12.67435
ps1_amy,AMY,B4GAT1,100.0,93.78,52,1485,0.0,430.0,3.0649188514357055,1.0,8.66246,28.34927
ps1_amy,AMY,BAALC,100.0,90.77,39,1526,0.0,201.0,2.5995631598107027,1.5,4.65987,18.47612
ps1_amy,AMY,BASP1,100.0,89.9,37,1443,0.0,143.0,2.7945865776789023,1.0,6.04434,11.32673
ps1_amy,AMY,BBLN,100.0,91.01,29,1483,0.0,220.0,3.4358510087946197,2.0,7.74571,12.209
ps1_amy,AMY,BCAN,100.0,91.69,43,1468,0.0,88.0,2.746140651801029,1.0,4.47465,8.18448
ps1_amy,AMY,BCAS1,100.0,88.64,20,1424,0.0,210.0,3.6645021645021645,2.0,8.65506,14.64202
