exp,dataset,target,active_source_pcr,sparsity_pcr,total_root_nodes,total_sources,count_min,count_max,count_avg,count_median,count_std,count_skew
ps1_ba9,BA9,ACTB,100.0,91.56,44,1476,0.0,282.0,2.586420879722577,1.0,5.99365,23.77317
ps1_ba9,BA9,ACTG1,100.0,93.37,65,1492,0.0,77.0,2.2081131488964876,1.0,3.52927,9.29854
ps1_ba9,BA9,AHCYL1,100.0,88.64,24,1413,0.0,254.0,3.423416407061267,2.0,8.02026,14.24306
ps1_ba9,BA9,ALDOA,100.0,87.9,17,1490,0.0,270.0,4.746083550913838,2.0,11.99116,10.76847
ps1_ba9,BA9,ALDOC,100.0,88.08,25,1419,0.0,161.0,3.4197209742255854,2.0,7.36432,10.69388
ps1_ba9,BA9,AP2M1,100.0,89.17,33,1314,0.0,213.0,2.8965296998083883,1.0,9.02132,14.2519
ps1_ba9,BA9,AP2S1,100.0,83.9,23,1351,0.0,196.0,2.777888844462215,1.0,7.17294,13.48855
ps1_ba9,BA9,APBB1,100.0,92.31,41,1409,0.0,217.0,3.2545045045045047,1.0,8.37288,13.04364
ps1_ba9,BA9,APLP1,100.0,93.62,53,1504,0.0,205.0,2.8949645948072384,1.0,6.70741,15.68065
ps1_ba9,BA9,APLP2,100.0,91.41,47,1444,0.0,90.0,2.6988675360329446,1.0,4.82424,7.44799
ps1_ba9,BA9,APOD,100.0,95.27,66,1450,0.0,207.0,2.3162657250055174,1.0,5.0874,21.96153
ps1_ba9,BA9,APOE,100.0,83.51,16,1423,0.0,298.0,3.9230154501864676,2.0,8.97155,15.79813
ps1_ba9,BA9,APP,100.0,92.09,55,1379,0.0,157.0,2.5005,1.0,4.77466,12.52433
ps1_ba9,BA9,AQP4,100.0,84.52,20,1436,0.0,181.0,3.0629779577148,1.0,7.19762,11.6137
ps1_ba9,BA9,ARF1,100.0,90.4,38,1424,0.0,219.0,2.874638937030618,1.0,6.82167,15.0424
ps1_ba9,BA9,ARF3,100.0,89.42,36,1301,0.0,129.0,2.911420500403551,1.0,7.01296,8.8551
ps1_ba9,BA9,ARF5,100.0,87.91,24,1394,0.0,138.0,3.568001978239367,1.0,8.37257,8.25905
ps1_ba9,BA9,ARHGDIG,100.0,86.03,25,1360,0.0,153.0,2.9206148662876394,1.0,6.77539,10.37441
ps1_ba9,BA9,ARL2,100.0,89.28,29,1465,0.0,167.0,3.303908651734739,1.0,7.78735,10.68463
ps1_ba9,BA9,ARL6IP1,100.0,92.0,57,1505,0.0,100.0,2.2997668318274553,1.0,3.69928,9.98716
ps1_ba9,BA9,ARL6IP4,100.0,90.05,28,1421,0.0,157.0,3.1452020202020203,1.0,8.0893,10.67351
ps1_ba9,BA9,ATF4,100.0,95.76,71,1485,0.0,127.0,2.7587748714509277,2.0,5.31277,11.07945
ps1_ba9,BA9,ATN1,100.0,90.19,40,1514,0.0,143.0,2.671998652971881,1.0,5.20402,11.28511
ps1_ba9,BA9,ATP1A2,100.0,74.46,11,1204,0.0,276.0,3.558971327224357,1.0,10.12508,12.05349
ps1_ba9,BA9,ATP1A3,100.0,88.18,15,1369,0.0,376.0,5.183690280065898,2.0,14.3163,11.69532
ps1_ba9,BA9,ATP1B1,100.0,90.29,20,1368,0.0,445.0,4.657261098570354,2.0,16.26493,14.08765
ps1_ba9,BA9,ATP1B2,100.0,85.73,19,1336,0.0,246.0,3.372446162341248,2.0,8.9357,12.75607
ps1_ba9,BA9,ATP5F1A,100.0,85.42,21,1383,0.0,155.0,3.4624468587623998,1.0,8.54774,9.39736
ps1_ba9,BA9,ATP5F1B,100.0,88.14,25,1389,0.0,371.0,3.278883495145631,1.0,10.74335,17.62
ps1_ba9,BA9,ATP5F1D,100.0,88.9,13,1453,0.0,414.0,5.553648068669528,2.0,16.74477,13.07037
ps1_ba9,BA9,ATP5ME,100.0,91.49,32,1467,0.0,244.0,3.035043804755945,1.0,8.50201,15.81047
