exp,dataset,target,active_source_pcr,sparsity_pcr,total_root_nodes,total_sources,count_min,count_max,count_avg,count_median,count_std,count_skew
ps1_bla,BLA,A2M,100.0,92.98,68,1582,0.0,39.0,1.8494766132237976,1.0,1.5111,5.74013
ps1_bla,BLA,ACADVL,100.0,96.25,88,1566,0.0,40.0,2.428322692977365,2.0,2.4144,4.35987
ps1_bla,BLA,ACTA2,100.0,93.69,67,1580,0.0,108.0,2.1766906044284857,1.0,2.63851,14.30539
ps1_bla,BLA,ACTB,100.0,93.6,88,1584,0.0,46.0,1.780405784104921,1.0,1.52793,8.03953
ps1_bla,BLA,ACTC1,100.0,94.72,90,1569,0.0,23.0,1.8067892123976923,1.0,1.49599,4.76202
ps1_bla,BLA,ACTG1,100.0,95.59,119,1577,0.0,21.0,1.8199298585076793,1.0,1.38932,3.79619
ps1_bla,BLA,ACTG2,100.0,96.92,121,1526,0.0,70.0,2.179838426413769,1.0,2.99455,9.37904
ps1_bla,BLA,ACTN1,100.0,92.94,52,1572,0.0,122.0,2.5213023900242466,2.0,4.13202,15.50935
ps1_bla,BLA,ACTN4,100.0,97.49,182,1552,0.0,13.0,1.5604225352112675,1.0,0.88438,2.38099
ps1_bla,BLA,ADAM33,100.0,95.05,95,1571,0.0,82.0,2.03926347143244,1.0,2.25706,11.94783
ps1_bla,BLA,ADAMTS1,100.0,96.53,103,1499,0.0,29.0,1.8994778067885119,1.0,1.69102,4.44856
ps1_bla,BLA,ADD1,100.0,93.29,69,1586,0.0,98.0,2.113122787911789,1.0,2.41335,12.90518
ps1_bla,BLA,ADH1B,100.0,97.03,134,1533,0.0,67.0,1.7086472322305928,1.0,1.57438,15.04564
ps1_bla,BLA,ADH5,100.0,94.76,70,1565,0.0,94.0,2.436259143155695,2.0,2.94546,9.75309
ps1_bla,BLA,AEBP1,100.0,95.72,108,1566,0.0,25.0,1.7456527739442451,1.0,1.25123,4.26146
ps1_bla,BLA,AHNAK,100.0,94.96,100,1582,0.0,22.0,1.847340692423482,1.0,1.40644,3.6959
ps1_bla,BLA,ANP32B,100.0,96.22,128,1581,0.0,94.0,1.8341176470588236,1.0,1.75113,21.7355
ps1_bla,BLA,ANXA2,100.0,95.21,105,1581,0.0,35.0,1.920397384305835,1.0,1.61819,4.89865
ps1_bla,BLA,ANXA5,100.0,95.92,95,1559,0.0,36.0,1.9892384105960266,1.0,1.76502,4.85972
ps1_bla,BLA,ANXA6,100.0,93.34,87,1577,0.0,61.0,1.8365984458793916,1.0,1.45544,9.86451
ps1_bla,BLA,AOC3,100.0,93.6,70,1587,0.0,77.0,2.331552305961755,1.0,2.64092,8.24104
ps1_bla,BLA,AP2M1,100.0,94.63,87,1581,0.0,45.0,1.9845570306150095,1.0,1.76644,6.33343
ps1_bla,BLA,APLP2,100.0,93.95,86,1590,0.0,31.0,1.8958887545344618,1.0,1.47274,4.06868
ps1_bla,BLA,APOD,100.0,97.51,166,1530,0.0,24.0,1.7310312054490733,1.0,1.30124,4.88479
ps1_bla,BLA,APP,100.0,94.49,91,1574,0.0,19.0,1.8565812832868374,1.0,1.34833,2.94198
ps1_bla,BLA,AQP1,100.0,97.39,165,1568,0.0,39.0,1.799288467239846,1.0,1.41024,5.84992
ps1_bla,BLA,AQP3,100.0,95.94,98,1571,0.0,88.0,2.0760869565217392,1.0,3.08676,15.02056
ps1_bla,BLA,ARF1,100.0,92.64,46,1572,0.0,67.0,2.5998872392407444,2.0,2.96864,7.16424
ps1_bla,BLA,ARHGAP1,100.0,92.14,64,1586,0.0,31.0,1.9269331996490788,1.0,1.5638,4.12327
ps1_bla,BLA,ARHGDIA,100.0,92.13,38,1554,0.0,105.0,2.8497308934338,2.0,3.825,7.93325
ps1_bla,BLA,ARL2,100.0,95.63,133,1585,0.0,13.0,1.713323190610737,1.0,1.10253,2.31425
ps1_bla,BLA,ARL6IP4,100.0,91.52,48,1567,0.0,52.0,2.2185638131075573,1.0,2.33785,6.77229
ps1_bla,BLA,ARPC3,100.0,96.11,111,1550,0.0,49.0,1.8897520167314013,1.0,2.11489,8.84614
ps1_bla,BLA,ATF4,100.0,93.11,71,1583,0.0,55.0,2.0300800413116447,1.0,1.92393,7.13832
ps1_bla,BLA,ATN1,100.0,93.38,54,1567,0.0,95.0,2.4352562957671013,2.0,3.33588,12.38428
ps1_bla,BLA,ATP5F1B,100.0,95.45,98,1553,0.0,21.0,1.6780150028851701,1.0,1.202,4.21101
ps1_bla,BLA,ATP5F1D,100.0,93.87,73,1574,0.0,37.0,2.0610275333522567,1.0,1.96397,5.78695
ps1_bla,BLA,ATP5MC2,100.0,97.02,151,1569,0.0,46.0,1.6536067892503536,1.0,1.3216,11.99172
ps1_bla,BLA,ATP5ME,100.0,96.02,89,1559,0.0,46.0,2.2096774193548385,1.0,2.50698,6.84292
ps1_bla,BLA,ATP5PD,100.0,95.18,101,1586,0.0,23.0,1.9282104444732409,1.0,1.44459,3.15737
ps1_bla,BLA,ATP5PF,100.0,94.04,88,1583,0.0,71.0,1.965899505964574,1.0,1.99709,13.04045
ps1_bla,BLA,ATP5PO,100.0,95.99,34,1582,0.0,90.0,5.964285714285714,4.0,7.45115,4.66317
ps1_bla,BLA,ATP6V0C,100.0,95.27,97,1581,0.0,36.0,2.041247068561181,1.0,1.90326,5.58055
ps1_bla,BLA,ATP6V0E1,100.0,92.49,66,1575,0.0,26.0,1.920102432778489,1.0,1.45756,3.46183
ps1_bla,BLA,AUP1,100.0,97.03,129,1512,0.0,95.0,1.9630716134598791,1.0,2.33701,15.57149
ps1_bla,BLA,B2M,100.0,98.04,207,1405,0.0,15.0,1.594040315512708,1.0,1.04683,3.4752
ps1_bla,BLA,BGN,100.0,97.52,164,1482,0.0,18.0,1.5920834713481284,1.0,1.124,4.90376
ps1_bla,BLA,BHLHE40,100.0,97.69,170,1503,0.0,32.0,1.8857385398981323,1.0,1.67627,4.84064
ps1_bla,BLA,BRK1,100.0,96.02,119,1556,0.0,29.0,1.8113796849538295,1.0,1.50984,4.90592
ps1_bla,BLA,BSG,100.0,94.98,101,1580,0.0,29.0,1.8488401097530556,1.0,1.51095,4.86791
ps1_bla,BLA,BTF3,100.0,96.23,135,1575,0.0,17.0,1.7577871916272116,1.0,1.22922,3.31605
ps1_bla,BLA,BTG2,100.0,94.94,82,1565,0.0,44.0,2.0378636293674,1.0,1.92801,6.2183
ps1_bla,BLA,C11orf96,100.0,97.15,123,1422,0.0,41.0,1.7120240480961924,1.0,1.76819,9.35475
ps1_bla,BLA,C1R,100.0,89.94,37,1567,0.0,33.0,2.3234487487144326,2.0,2.14133,3.82993
ps1_bla,BLA,C1S,100.0,93.09,69,1587,0.0,25.0,1.8999735729386893,1.0,1.45915,3.72119
ps1_bla,BLA,C3,100.0,95.59,98,1541,0.0,24.0,1.6936936936936937,1.0,1.22946,4.20421
ps1_bla,BLA,C7,100.0,95.8,102,1556,0.0,57.0,1.8107378524295141,1.0,1.73841,12.50976
ps1_bla,BLA,CALD1,100.0,92.99,48,1573,0.0,106.0,2.6893882175226587,2.0,4.11678,12.46978
ps1_bla,BLA,CALM1,100.0,93.87,71,1567,0.0,56.0,1.9784362622854628,1.0,2.12662,8.54894
ps1_bla,BLA,CALM2,100.0,94.88,89,1574,0.0,39.0,1.9953987730061349,1.0,1.85304,5.52321
ps1_bla,BLA,CALM3,100.0,95.7,103,1576,0.0,63.0,1.9875250932033266,1.0,1.81476,8.51227
ps1_bla,BLA,CALR,100.0,95.6,74,1511,0.0,63.0,2.1712718407151566,1.0,2.82183,8.93786
ps1_bla,BLA,CAP1,100.0,92.07,49,1573,0.0,59.0,2.2330605564648116,1.5,2.50401,9.6125
ps1_bla,BLA,CAPNS1,100.0,94.62,76,1565,0.0,43.0,2.071908707206503,1.0,1.95562,6.35398
ps1_bla,BLA,CAV1,100.0,92.81,53,1577,0.0,74.0,2.5201331114808654,2.0,2.89397,7.57251
ps1_bla,BLA,CAVIN1,100.0,95.36,124,1584,0.0,29.0,1.7489585617189214,1.0,1.31121,5.3027
ps1_bla,BLA,CCDC69,100.0,93.34,60,1582,0.0,68.0,2.3387122290776774,2.0,2.92267,8.61454
ps1_bla,BLA,CCN1,100.0,97.36,132,1500,0.0,34.0,1.9503641241855116,1.0,1.75011,5.52251
ps1_bla,BLA,CCN2,100.0,98.46,201,1335,0.0,35.0,1.5692793011405,1.0,1.1864,9.13056
ps1_bla,BLA,CCNI,100.0,95.63,107,1566,0.0,59.0,1.764898851831602,1.0,1.534,10.81799
ps1_bla,BLA,CCNL2,100.0,91.57,55,1574,0.0,52.0,1.8998492944238936,1.0,1.64544,7.91941
ps1_bla,BLA,CD151,100.0,96.58,139,1586,0.0,34.0,1.908572186836518,1.0,1.62958,5.79483
ps1_bla,BLA,CD63,100.0,92.28,37,1575,0.0,91.0,3.075794621026895,2.0,3.74003,7.22288
ps1_bla,BLA,CD74,100.0,97.44,155,1387,0.0,19.0,1.6431822319315492,1.0,1.26835,4.7583
ps1_bla,BLA,CD81,100.0,96.5,155,1579,0.0,22.0,1.6663943037235904,1.0,1.1108,3.84673
ps1_bla,BLA,CDC37,100.0,93.99,70,1578,0.0,63.0,1.957491709375942,1.0,1.85379,10.87108
ps1_bla,BLA,CDKN1A,100.0,95.73,94,1582,0.0,61.0,2.138604504646401,1.0,2.2855,7.7606
ps1_bla,BLA,CEBPD,100.0,95.13,52,1555,0.0,78.0,3.2904701397712834,2.0,3.65567,5.58821
ps1_bla,BLA,CFD,100.0,96.66,97,1536,0.0,52.0,2.188667872212176,1.0,2.46852,7.90832
ps1_bla,BLA,CFL1,100.0,88.27,32,1572,0.0,34.0,2.4387599525664916,2.0,2.39874,4.28505
ps1_bla,BLA,CHCHD2,100.0,96.92,159,1565,0.0,16.0,1.6270390186610988,1.0,1.03886,3.0834
ps1_bla,BLA,CHMP4B,100.0,94.3,77,1573,0.0,43.0,2.0278341548274863,1.0,1.98123,6.91769
ps1_bla,BLA,CIRBP,100.0,94.24,69,1581,0.0,39.0,2.2020378920554053,2.0,2.02148,4.85786
ps1_bla,BLA,CKB,100.0,93.75,76,1582,0.0,48.0,2.0107770090473656,1.0,1.8831,6.13238
ps1_bla,BLA,CLIC1,100.0,95.63,78,1577,0.0,92.0,2.65328127904815,2.0,3.69623,8.71481
ps1_bla,BLA,CLIC4,100.0,94.9,82,1568,0.0,85.0,2.165318272019539,1.0,2.83678,13.49708
ps1_bla,BLA,CLK1,100.0,95.45,95,1565,0.0,36.0,1.9869957144968229,1.0,1.71903,4.37433
ps1_bla,BLA,CLU,100.0,95.74,95,1576,0.0,79.0,2.1095073737056795,1.0,2.20226,10.65889
ps1_bla,BLA,CNBP,100.0,94.81,96,1581,0.0,57.0,1.9989842559674962,1.0,1.82291,7.3958
ps1_bla,BLA,CNN1,100.0,95.12,60,1572,0.0,199.0,3.131304347826087,2.0,5.40991,14.99842
ps1_bla,BLA,COL1A1,100.0,97.05,128,1480,0.0,17.0,1.6326421165534502,1.0,1.10141,3.57562
ps1_bla,BLA,COL1A2,100.0,96.05,100,1546,0.0,33.0,1.7715128667431568,1.0,1.39798,5.77761
ps1_bla,BLA,COL3A1,100.0,97.5,148,1481,0.0,11.0,1.608695652173913,1.0,1.004,2.49237
ps1_bla,BLA,COL6A1,100.0,94.78,85,1589,0.0,87.0,2.180774138664398,1.0,2.40228,12.46077
ps1_bla,BLA,COL6A2,100.0,94.62,72,1581,0.0,70.0,2.55987583728149,2.0,3.05133,6.88764
ps1_bla,BLA,COL6A3,100.0,97.8,154,1468,0.0,26.0,1.7019308125502817,1.0,1.28847,4.85745
ps1_bla,BLA,COX4I1,100.0,95.71,112,1580,0.0,28.0,1.7225,1.0,1.1882,4.43389
ps1_bla,BLA,COX5B,100.0,96.7,162,1577,0.0,26.0,1.6476518026565465,1.0,1.10599,4.38316
ps1_bla,BLA,COX6A1,100.0,97.33,134,1558,0.0,61.0,2.0168943206326384,1.0,2.25744,8.13203
ps1_bla,BLA,COX7C,100.0,96.84,102,1547,0.0,95.0,2.297731379241116,1.0,3.08975,12.20292
ps1_bla,BLA,COX8A,100.0,96.86,149,1572,0.0,34.0,1.825750373489067,1.0,1.45237,5.54234
ps1_bla,BLA,CRYAB,100.0,97.91,139,1399,0.0,63.0,2.1090012330456225,1.0,3.07874,8.48638
ps1_bla,BLA,CSDE1,100.0,93.89,82,1586,0.0,35.0,1.8959093769666457,1.0,1.64873,5.28087
ps1_bla,BLA,CSRP1,100.0,94.91,85,1579,0.0,224.0,2.1901696898771212,1.0,3.94837,30.31979
ps1_bla,BLA,CST3,100.0,97.65,200,1557,0.0,21.0,1.5479808350444901,1.0,0.93436,3.98383
ps1_bla,BLA,CTSB,100.0,96.11,121,1567,0.0,25.0,1.7717465056317003,1.0,1.38327,4.94585
ps1_bla,BLA,CTSD,100.0,95.73,111,1553,0.0,39.0,1.7859472682794237,1.0,1.55945,6.63882
ps1_bla,BLA,CTTN,100.0,94.12,91,1588,0.0,30.0,1.854470588235294,1.0,1.41766,4.23115
ps1_bla,BLA,CYC1,100.0,97.38,169,1552,0.0,51.0,1.6979651162790699,1.0,1.531,10.2665
ps1_bla,BLA,DAD1,100.0,95.21,76,1582,0.0,57.0,2.473766504517026,2.0,2.84774,6.0664
ps1_bla,BLA,DCN,100.0,95.85,103,1553,0.0,25.0,1.8691785983421252,1.0,1.44887,3.77111
ps1_bla,BLA,DDIT4,100.0,97.33,139,1534,0.0,38.0,1.8425390145537437,1.0,1.62452,6.35263
ps1_bla,BLA,DDX17,100.0,94.42,92,1580,0.0,30.0,1.8005178153125385,1.0,1.45703,5.1851
ps1_bla,BLA,DDX39B,100.0,94.15,71,1533,0.0,31.0,1.7409326424870466,1.0,1.57268,7.53702
ps1_bla,BLA,DDX5,100.0,95.96,115,1566,0.0,15.0,1.6527949457492104,1.0,1.04639,2.45366
ps1_bla,BLA,DEPP1,100.0,96.14,98,1535,0.0,110.0,1.9158782040254603,1.0,2.34177,21.05173
ps1_bla,BLA,DES,100.0,94.72,66,1576,0.0,253.0,2.8040429794208706,2.0,5.18141,24.2306
ps1_bla,BLA,DHRS2,100.0,94.28,84,1577,0.0,65.0,1.9517022961203483,1.0,2.31192,10.1628
ps1_bla,BLA,DPT,100.0,97.51,132,1494,0.0,90.0,1.8895230330207908,1.0,2.28218,17.31266
ps1_bla,BLA,DPYSL3,100.0,95.53,109,1554,0.0,74.0,1.8364572333685323,1.0,1.99896,12.587
ps1_bla,BLA,DSTN,100.0,93.4,63,1579,0.0,158.0,2.4515981735159817,1.0,3.66814,19.5649
ps1_bla,BLA,DUSP1,100.0,95.32,115,1578,0.0,23.0,1.740871613663133,1.0,1.24236,3.34861
ps1_bla,BLA,ECH1,100.0,95.45,92,1566,0.0,43.0,1.9428440786465477,1.0,1.69669,5.95827
ps1_bla,BLA,ECHS1,100.0,96.07,118,1577,0.0,17.0,1.7078037447041137,1.0,1.16737,3.71276
ps1_bla,BLA,EDF1,100.0,96.4,115,1567,0.0,19.0,1.8092886900169727,1.0,1.40152,3.78408
ps1_bla,BLA,EEF1A1,100.0,95.14,92,1591,0.0,42.0,2.1907774497399126,1.0,2.0708,5.26463
ps1_bla,BLA,EEF1B2,100.0,97.44,159,1559,0.0,57.0,1.9464793179665298,1.0,1.87613,8.06921
ps1_bla,BLA,EEF1G,100.0,97.69,192,1547,0.0,30.0,1.7368267831149926,1.0,1.34024,5.52168
ps1_bla,BLA,EEF2,100.0,94.67,94,1566,0.0,24.0,1.6907676613108902,1.0,1.15321,3.4622
ps1_bla,BLA,EFEMP1,100.0,96.22,99,1486,0.0,37.0,1.8209599137156212,1.0,1.64117,6.28324
ps1_bla,BLA,EGR1,100.0,96.8,81,1415,0.0,136.0,2.167849344978166,1.0,4.30813,17.40053
ps1_bla,BLA,EHD2,100.0,96.49,138,1575,0.0,21.0,1.6929020429544264,1.0,1.18876,4.29098
ps1_bla,BLA,EID1,100.0,93.34,68,1561,0.0,31.0,1.8037330316742082,1.0,1.52828,6.21512
ps1_bla,BLA,EIF1,100.0,96.48,143,1577,0.0,49.0,1.7520442822996602,1.0,1.53748,9.53182
ps1_bla,BLA,EIF3D,100.0,94.07,71,1558,0.0,33.0,1.860713197195977,1.0,1.48192,5.12362
ps1_bla,BLA,EIF3G,100.0,93.58,40,1566,0.0,55.0,3.2049241482218354,2.0,3.6969,4.31584
ps1_bla,BLA,EIF3K,100.0,95.87,115,1576,0.0,43.0,1.739652870493992,1.0,1.31583,7.5457
ps1_bla,BLA,EIF3L,100.0,96.3,142,1578,0.0,26.0,1.700953760714717,1.0,1.14979,3.67439
ps1_bla,BLA,EIF4A1,100.0,92.6,32,1565,0.0,186.0,3.677549919050189,2.0,6.70952,13.13443
ps1_bla,BLA,EIF4A2,100.0,96.7,153,1565,0.0,45.0,1.665991902834008,1.0,1.18869,8.48789
ps1_bla,BLA,EIF4B,100.0,93.99,82,1585,0.0,29.0,2.003968253968254,1.0,1.75776,4.56564
ps1_bla,BLA,EIF4G2,100.0,94.16,53,1569,0.0,80.0,2.854466858789625,2.0,3.3833,7.45432
ps1_bla,BLA,EIF4H,100.0,93.64,79,1580,0.0,34.0,1.9858888748897567,1.0,1.70822,5.22163
ps1_bla,BLA,EMILIN1,100.0,96.21,115,1577,0.0,41.0,2.158132091940646,1.0,2.23174,5.30664
