exp,dataset,target,n_roots,min,max,mean,median,std,distance
ps1_bre,BRE,A2M,16,0.14337098204657928,1.0,0.6640978398979446,0.738239180196272,0.22653237936971735,cosine_distance
ps1_bre,BRE,A2M,16,6.557438524302,441.4396901050018,112.57142620628225,50.25393913557012,128.0047486171908,euclidean_distance
ps1_bre,BRE,A2M,16,0.6151603498542274,1.0,0.9382451765374735,0.9664909718253212,0.07273732482171912,weighted_jaccard
ps1_bre,BRE,A2M,16,0.0,4.363391655450874,0.9394291161956032,0.3055181695827722,1.293388020697279,wasserstein_distance
ps1_bre,BRE,ACADVL,44,0.12955876248717246,1.0,0.7838781444457428,0.8042738694222185,0.1676698964618445,cosine_distance
ps1_bre,BRE,ACADVL,44,4.242640687119285,356.5389179318297,50.33327406283488,14.730919862656235,86.56365632360571,euclidean_distance
ps1_bre,BRE,ACADVL,44,0.5534389750505732,1.0,0.9606817811274055,0.96875,0.039141250480877465,weighted_jaccard
ps1_bre,BRE,ACADVL,44,0.0,3.130639730639739,0.3708921491162513,0.04175084175084187,0.7907010300469319,wasserstein_distance
ps1_bre,BRE,ACKR1,2,0.23824361397251592,0.23824361397251592,0.23824361397251592,0.23824361397251592,0.0,cosine_distance
ps1_bre,BRE,ACKR1,2,429.83485200714006,429.83485200714006,429.83485200714006,429.83485200714006,0.0,euclidean_distance
ps1_bre,BRE,ACKR1,2,0.6523364485981309,0.6523364485981309,0.6523364485981309,0.6523364485981309,0.0,weighted_jaccard
ps1_bre,BRE,ACKR1,2,3.426440677966102,3.426440677966102,3.426440677966102,3.426440677966102,0.0,wasserstein_distance
ps1_bre,BRE,ACSL1,7,0.15184765342809914,0.8483803912842193,0.5728828047565784,0.6029026446595798,0.1961384604148165,cosine_distance
ps1_bre,BRE,ACSL1,7,5.916079783099616,487.63613483826236,224.71132474776408,243.78474111395897,177.39399666819182,euclidean_distance
ps1_bre,BRE,ACSL1,7,0.614846828524215,0.9981227436823105,0.943436462470599,0.9821831869510665,0.09041817498531593,weighted_jaccard
ps1_bre,BRE,ACSL1,7,0.0007047216349541641,4.871035940803382,2.003892748078794,1.9358703312191694,1.798509937454878,wasserstein_distance
ps1_bre,BRE,ACTA2,1,,,,,,cosine_distance
ps1_bre,BRE,ACTA2,1,,,,,,euclidean_distance
ps1_bre,BRE,ACTA2,1,,,,,,weighted_jaccard
ps1_bre,BRE,ACTA2,1,,,,,,wasserstein_distance
ps1_bre,BRE,ACTB,21,0.16130633890636903,1.0,0.7753351463758411,0.8143165819680198,0.1871025988244647,cosine_distance
ps1_bre,BRE,ACTB,21,6.0,551.2721650872643,88.2332677191872,34.59210461312204,150.28875378821027,euclidean_distance
ps1_bre,BRE,ACTB,21,0.768562401263823,1.0,0.9599291925371195,0.9770084566596194,0.05043948547939057,weighted_jaccard
ps1_bre,BRE,ACTB,21,0.0,5.808060109289617,0.776255529534218,0.19433060109289607,1.6133630002293855,wasserstein_distance
ps1_bre,BRE,ACTG1,31,0.2217559533546205,1.0,0.8096104938832333,0.8693872292575263,0.18136373319707333,cosine_distance
ps1_bre,BRE,ACTG1,31,6.557438524302,370.631892853273,63.30117785346789,27.422618401604176,86.59164838791135,euclidean_distance
ps1_bre,BRE,ACTG1,31,0.6806806806806807,1.0,0.9601471692628796,0.9778761061946902,0.05179866428065076,weighted_jaccard
ps1_bre,BRE,ACTG1,31,0.0,3.800928998009291,0.5251278977674082,0.13072329130723281,0.9038762119347548,wasserstein_distance
ps1_bre,BRE,ADH1B,4,0.07033240164344878,0.8702064670872087,0.6005159058291584,0.6591426679081194,0.26336879181579387,cosine_distance
ps1_bre,BRE,ADH1B,4,8.426149773176359,626.6546098130931,377.93206903192817,336.61549834312547,210.2689179691392,euclidean_distance
ps1_bre,BRE,ADH1B,4,0.6175531914893617,0.9983180085220902,0.9226728414815678,0.9944857443342552,0.138278221796273,weighted_jaccard
ps1_bre,BRE,ADH1B,4,0.011789181692094308,6.17267683772538,3.5538603791030963,3.08633841886269,2.1347903447454804,wasserstein_distance
ps1_bre,BRE,ADIPOQ,5,0.16100636261952683,0.5561304626495928,0.37274610075105913,0.3785082435893215,0.1156703215690707,cosine_distance
ps1_bre,BRE,ADIPOQ,5,22.090722034374522,437.78761974272413,261.8575064423906,329.649970451702,161.25088005891124,euclidean_distance
ps1_bre,BRE,ADIPOQ,5,0.5580316887801108,0.9931746295988014,0.907916201922933,0.9489637423515793,0.12402661600242644,weighted_jaccard
ps1_bre,BRE,ADIPOQ,5,0.08792742498255413,4.1577110956036245,2.363852058618282,3.432309839497555,1.739861450296171,wasserstein_distance
ps1_bre,BRE,AGPAT2,5,0.15642586942587744,0.6374532274701576,0.4406033090309183,0.5101371239924596,0.18384120225810782,cosine_distance
