exp,dataset,target,active_source_pcr,sparsity_pcr,total_root_nodes,total_sources,count_min,count_max,count_avg,count_median,count_std,count_skew
ps1_bre,BRE,A2M,100.0,81.98,16,1486,0.0,170.0,3.308051341890315,2.0,7.36663,11.05521
ps1_bre,BRE,ACADVL,100.0,92.23,44,1485,0.0,250.0,2.7999605833661807,1.0,6.28812,19.2008
ps1_bre,BRE,ACKR1,100.0,18.68,2,1475,0.0,390.0,5.409754064193414,3.0,13.70639,14.788
ps1_bre,BRE,ACSL1,100.0,72.66,7,1419,0.0,221.0,4.511045655375552,2.0,10.6637,9.80079
ps1_bre,BRE,ACTA2,100.0,0.0,1,1456,0.0,540.0,7.881868131868132,4.0,26.00792,15.70464
ps1_bre,BRE,ACTB,100.0,88.04,21,1464,0.0,214.0,3.7247756323089476,2.0,8.92131,11.72684
ps1_bre,BRE,ACTG1,100.0,88.61,31,1507,0.0,149.0,2.8489573548750706,1.0,5.43993,12.01728
ps1_bre,BRE,ADH1B,100.0,60.09,4,1442,0.0,264.0,5.66637706342311,3.0,13.72125,9.46211
ps1_bre,BRE,ADIPOQ,100.0,62.47,5,1433,0.0,244.0,4.382298252138342,2.0,10.04614,11.10322
ps1_bre,BRE,AGPAT2,100.0,65.65,5,1385,0.0,316.0,4.632618747372845,2.0,14.11764,12.42761
ps1_bre,BRE,ANXA5,100.0,78.92,13,1420,0.0,294.0,3.393884892086331,1.0,9.37164,14.64716
ps1_bre,BRE,APOD,100.0,92.36,39,1494,0.0,153.0,3.080431363738486,2.0,5.84306,10.93097
ps1_bre,BRE,APOE,100.0,96.3,99,1453,0.0,95.0,2.0276160060116477,1.0,3.05135,15.70333
ps1_bre,BRE,AQP1,100.0,75.52,11,1481,0.0,166.0,3.6890672016048143,2.0,7.86892,9.12096
ps1_bre,BRE,ATF4,100.0,93.74,31,1476,0.0,186.0,4.1423586880669925,2.0,8.74581,9.27446
ps1_bre,BRE,ATP5F1B,100.0,88.96,15,1315,0.0,260.0,4.886593204775023,2.0,13.02267,9.59234
ps1_bre,BRE,AZGP1,100.0,58.78,6,1454,0.0,213.0,3.7830923248053394,2.0,8.74876,11.1657
ps1_bre,BRE,B2M,100.0,89.51,29,1373,0.0,158.0,3.0129279387119943,1.0,6.07154,9.66576
ps1_bre,BRE,BHLHE40,100.0,73.54,4,1389,0.0,429.0,8.228571428571428,3.0,22.094,10.16852
ps1_bre,BRE,BSG,100.0,90.03,24,1458,0.0,170.0,3.781599312123818,2.0,8.00741,9.74442
ps1_bre,BRE,BTF3,100.0,76.12,8,1354,0.0,345.0,4.821414766138385,2.0,14.50337,12.73817
ps1_bre,BRE,C11orf96,100.0,95.69,63,1282,0.0,137.0,2.729698708751793,1.0,6.01899,10.41295
ps1_bre,BRE,C1R,100.0,86.33,21,1470,0.0,194.0,3.4784360189573458,2.0,7.8452,10.62854
ps1_bre,BRE,C1S,100.0,87.86,20,1398,0.0,192.0,4.0344827586206895,2.0,10.45168,10.24628
ps1_bre,BRE,CALM2,100.0,89.52,28,1494,0.0,234.0,3.4304288321167884,2.0,8.50607,14.14711
ps1_bre,BRE,CALR,100.0,85.35,21,1450,0.0,417.0,2.960098632593589,1.0,10.19809,24.50804
ps1_bre,BRE,CAV1,100.0,83.22,12,1363,0.0,301.0,4.159256559766764,2.0,12.57043,12.8835
ps1_bre,BRE,CAVIN1,100.0,79.56,11,1381,0.0,318.0,4.3974235104669885,2.0,12.9021,13.78894
