exp,dataset,target,active_source_pcr,sparsity_pcr,total_root_nodes,total_sources,count_min,count_max,count_avg,count_median,count_std,count_skew
ps1_hrv,HRV,A2M,100.0,93.94,67,1489,0.0,108.0,2.289591262617905,1.0,4.03696,12.4578
ps1_hrv,HRV,ABLIM1,100.0,89.93,27,1301,0.0,195.0,3.8880090497737556,1.0,9.95763,8.55898
ps1_hrv,HRV,ACADVL,100.0,91.36,27,1306,0.0,448.0,3.8471128608923886,2.0,12.66752,20.20241
ps1_hrv,HRV,ACO2,100.0,83.8,14,1244,0.0,326.0,4.214386959603118,1.0,13.5,12.16421
ps1_hrv,HRV,ACTA1,100.0,82.41,7,1507,0.0,279.0,6.480064655172414,4.0,13.93893,12.18213
ps1_hrv,HRV,ACTB,100.0,95.76,102,1468,0.0,103.0,1.8821400472069236,1.0,3.8174,17.23693
ps1_hrv,HRV,ACTC1,100.0,85.92,24,1481,0.0,117.0,2.9438449240607514,2.0,5.53636,10.30709
ps1_hrv,HRV,ACTG1,100.0,96.95,148,1482,0.0,45.0,1.8078817733990147,1.0,2.16507,8.8425
ps1_hrv,HRV,ACTN2,100.0,85.49,19,1274,0.0,184.0,3.6212984054669706,1.0,10.13106,9.55083
ps1_hrv,HRV,AK1,100.0,85.34,15,1244,0.0,299.0,3.6453382084095063,1.0,12.98715,13.91608
ps1_hrv,HRV,AKR1B1,100.0,92.29,42,1349,0.0,138.0,2.9299290130524387,1.0,6.71638,10.49001
ps1_hrv,HRV,ALDOA,100.0,81.74,17,1342,0.0,173.0,3.3783005280844933,1.0,8.34456,9.6002
ps1_hrv,HRV,ALDOC,100.0,76.78,10,1349,0.0,220.0,4.048834982444941,2.0,10.92056,11.69942
ps1_hrv,HRV,ANKRD1,100.0,87.63,16,1461,0.0,287.0,4.544102386717399,2.0,12.80116,13.40224
ps1_hrv,HRV,ANKRD2,100.0,93.25,19,1443,0.0,327.0,6.454054054054054,3.0,12.44322,11.97025
ps1_hrv,HRV,ANXA5,100.0,92.31,46,1457,0.0,111.0,2.392898719441211,1.0,4.21717,11.04343
ps1_hrv,HRV,AP2M1,100.0,89.68,27,1227,0.0,225.0,3.6696898771211233,1.0,9.34562,11.49172
ps1_hrv,HRV,APLP2,100.0,85.38,22,1297,0.0,122.0,3.106449292735555,1.0,6.76355,8.29829
ps1_hrv,HRV,APOBEC2,100.0,79.1,10,1378,0.0,166.0,4.337152777777778,2.0,10.90419,8.82257
ps1_hrv,HRV,APOD,100.0,96.38,93,1249,0.0,77.0,1.9964311206281227,1.0,3.33037,12.78958
ps1_hrv,HRV,APP,100.0,90.73,35,1354,0.0,309.0,2.950147962667881,1.0,8.35511,19.34166
ps1_hrv,HRV,AQP1,100.0,94.86,51,1424,0.0,312.0,3.24136083578891,2.0,8.13428,21.30272
ps1_hrv,HRV,ARF1,100.0,89.87,29,1290,0.0,222.0,3.450514647664291,1.0,8.22824,10.60016
ps1_hrv,HRV,ARL2,100.0,86.03,21,1201,0.0,110.0,3.8217934165720773,1.0,8.70738,6.40625
