exp,dataset,target,active_source_pcr,sparsity_pcr,total_root_nodes,total_sources,count_min,count_max,count_avg,count_median,count_std,count_skew
ps1_hyp,HYP,ABCA2,100.0,82.51,11,1433,0.0,356.0,3.869423286180631,2.0,13.09316,18.0833
ps1_hyp,HYP,ACADVL,100.0,89.82,40,1477,0.0,75.0,2.553892215568862,1.0,3.97638,6.92968
ps1_hyp,HYP,ACTB,100.0,92.41,58,1518,0.0,110.0,2.3144823459006583,1.0,3.56728,11.20497
ps1_hyp,HYP,ACTG1,100.0,90.45,47,1500,0.0,84.0,2.331402257872846,1.0,4.10201,9.49681
ps1_hyp,HYP,AHCYL1,100.0,97.29,89,1323,0.0,257.0,3.420144336366489,2.0,9.22321,16.72542
ps1_hyp,HYP,ALDOC,100.0,93.61,51,1404,0.0,267.0,3.0124617402710974,1.0,7.77324,16.21997
ps1_hyp,HYP,ANXA5,100.0,89.72,41,1454,0.0,72.0,2.5470866655785867,2.0,3.67796,7.18178
ps1_hyp,HYP,AP2M1,100.0,90.02,29,1337,0.0,184.0,3.44717127357272,1.0,9.02525,10.33094
ps1_hyp,HYP,APLP1,100.0,90.43,42,1497,0.0,129.0,2.3969757394483215,1.0,4.37166,11.80793
ps1_hyp,HYP,APLP2,100.0,92.05,42,1415,0.0,150.0,3.011851851851852,1.0,6.73453,9.49901
ps1_hyp,HYP,APOD,100.0,86.37,18,1481,0.0,267.0,3.7143643368189325,2.0,10.03474,15.18974
ps1_hyp,HYP,APOE,100.0,89.28,34,1414,0.0,72.0,2.6475950349107835,1.0,4.5408,7.16532
ps1_hyp,HYP,APP,100.0,93.12,64,1481,0.0,186.0,2.362758620689655,1.0,5.28548,16.55527
ps1_hyp,HYP,AQP4,100.0,84.33,20,1456,0.0,171.0,3.13387379491674,2.0,6.90741,11.36388
ps1_hyp,HYP,ARF1,100.0,90.64,35,1433,0.0,193.0,3.154026416702173,1.0,7.22258,12.13322
ps1_hyp,HYP,ARF3,100.0,90.84,37,1372,0.0,176.0,2.8634408602150536,1.0,6.53859,12.65188
ps1_hyp,HYP,ARF5,100.0,90.41,35,1444,0.0,175.0,2.9665841584158414,1.0,6.44424,11.8686
ps1_hyp,HYP,ARHGDIA,100.0,90.84,47,1481,0.0,115.0,2.452149356761845,1.0,4.59848,10.34753
ps1_hyp,HYP,ARHGDIG,100.0,90.24,25,1391,0.0,245.0,4.053918680023571,2.0,10.33216,12.01067
ps1_hyp,HYP,ARL2,100.0,93.27,59,1371,0.0,57.0,2.2950789570326844,1.0,3.34092,6.14826
ps1_hyp,HYP,ARL6IP1,100.0,92.19,34,1393,0.0,344.0,3.471749121384158,1.0,11.19212,18.62973
ps1_hyp,HYP,ARL6IP4,100.0,89.15,23,1465,0.0,162.0,3.9710065645514225,2.0,10.4838,8.96523
ps1_hyp,HYP,ATF4,100.0,93.63,63,1474,0.0,110.0,2.321054410273741,1.0,4.38668,12.31345
ps1_hyp,HYP,ATN1,100.0,91.43,33,1459,0.0,228.0,3.507148049430579,2.0,9.69873,13.27967
ps1_hyp,HYP,ATP1A2,100.0,82.57,17,1407,0.0,143.0,3.388915547024952,2.0,7.0564,9.58089
ps1_hyp,HYP,ATP1A3,100.0,86.67,19,1434,0.0,274.0,3.6595979069126963,2.0,11.18805,14.93797
ps1_hyp,HYP,ATP1B1,100.0,87.64,14,1399,0.0,439.0,5.040495867768595,2.0,15.60904,15.4557
ps1_hyp,HYP,ATP1B2,100.0,90.08,29,1378,0.0,163.0,3.1971759959657087,2.0,7.01446,9.85507
ps1_hyp,HYP,ATP5F1B,100.0,89.02,23,1333,0.0,255.0,3.805109922756982,2.0,10.51208,12.52841
ps1_hyp,HYP,ATP5F1D,100.0,82.14,17,1428,0.0,186.0,3.4434963099630997,2.0,8.02099,10.27465
ps1_hyp,HYP,ATP5ME,100.0,83.69,9,1448,0.0,489.0,6.557855126999059,3.0,18.1451,14.8816
ps1_hyp,HYP,ATP5MK,100.0,85.31,20,1453,0.0,165.0,3.465917076598735,2.0,9.14317,9.89603
ps1_hyp,HYP,ATP5PD,100.0,81.52,14,1399,0.0,307.0,3.497513812154696,1.0,13.50192,13.36997
ps1_hyp,HYP,ATP5PF,100.0,87.69,20,1406,0.0,519.0,3.831889081455806,1.0,13.8029,22.01525
ps1_hyp,HYP,ATP5PO,100.0,84.63,20,1464,0.0,354.0,3.2716159146476995,1.0,10.07895,19.75835
ps1_hyp,HYP,ATP6V0C,100.0,87.39,26,1432,0.0,155.0,3.1086030664395228,1.0,7.1097,10.31099
ps1_hyp,HYP,ATP6V1B2,100.0,88.96,27,1337,0.0,196.0,3.2812343201204213,1.0,7.68728,9.73781
ps1_hyp,HYP,ATP6V1E1,100.0,91.21,38,1339,0.0,296.0,3.1344519015659955,1.0,8.76433,14.68377
ps1_hyp,HYP,ATP6V1F,100.0,91.52,34,1414,0.0,361.0,3.519862677783227,1.0,11.33499,16.55409
ps1_hyp,HYP,ATP6V1G2,100.0,86.76,14,1389,0.0,631.0,4.0660194174757285,2.0,16.66276,24.93041
ps1_hyp,HYP,AVP,100.0,90.94,26,1377,0.0,146.0,2.8459167950693374,2.0,5.52409,12.45364
ps1_hyp,HYP,B2M,100.0,85.35,18,1421,0.0,171.0,3.7875633840405656,2.0,7.26686,9.16159
ps1_hyp,HYP,B4GAT1,100.0,86.69,15,1344,0.0,330.0,4.263785394932936,2.0,14.00467,13.43285
ps1_hyp,HYP,BAALC,100.0,86.79,15,1435,0.0,349.0,4.935654008438819,2.0,13.09724,15.10819
ps1_hyp,HYP,BAIAP3,100.0,91.0,37,1470,0.0,175.0,2.877784590230942,1.0,6.28857,12.14732
ps1_hyp,HYP,BASP1,100.0,88.32,31,1391,0.0,129.0,2.77974180734856,1.0,6.36601,10.22683
ps1_hyp,HYP,BBLN,100.0,92.32,40,1382,0.0,254.0,2.809086629001883,1.0,7.07796,18.19933
ps1_hyp,HYP,BCAS1,100.0,73.46,7,1395,0.0,463.0,4.260416666666667,2.0,15.29743,22.32241
ps1_hyp,HYP,BEX1,100.0,89.51,13,1374,0.0,429.0,6.261612386545648,2.0,21.51447,13.48834
ps1_hyp,HYP,BEX2,100.0,86.83,22,1362,0.0,382.0,3.2764124651634154,1.0,10.84949,18.86275
ps1_hyp,HYP,BEX3,100.0,88.96,31,1344,0.0,312.0,2.9926054806437583,1.0,9.88562,17.15723
ps1_hyp,HYP,BEX4,100.0,88.1,27,1375,0.0,174.0,3.264599366229063,1.0,8.2075,10.93266
ps1_hyp,HYP,BEX5,100.0,89.35,27,1436,0.0,258.0,3.391041162227603,2.0,9.37889,14.33848
ps1_hyp,HYP,BIN1,100.0,91.73,37,1412,0.0,202.0,3.1241028015744385,1.0,8.13898,12.00602
ps1_hyp,HYP,BRK1,100.0,92.67,55,1391,0.0,254.0,2.649955396966994,1.0,7.03681,16.13524
ps1_hyp,HYP,BSCL2,100.0,79.93,6,1377,0.0,501.0,7.213510253317249,3.0,20.93387,12.80279
ps1_hyp,HYP,BSG,100.0,93.18,60,1526,0.0,87.0,2.371638924455826,1.0,3.83091,9.91641
ps1_hyp,HYP,BTF3,100.0,90.42,21,1412,0.0,325.0,4.687676056338028,2.0,14.03487,13.12307
ps1_hyp,HYP,CADM4,100.0,89.4,34,1419,0.0,123.0,3.0584783884216704,1.0,5.67941,7.94856
ps1_hyp,HYP,CALB2,100.0,90.2,14,1440,0.0,298.0,5.22419028340081,3.0,12.91085,13.85577
ps1_hyp,HYP,CALM1,100.0,86.19,23,1410,0.0,212.0,2.9819156061620897,1.0,7.35988,12.70094
ps1_hyp,HYP,CALM2,100.0,91.83,52,1424,0.0,138.0,2.465223855939204,1.0,5.71228,11.5136
ps1_hyp,HYP,CALM3,100.0,86.36,20,1367,0.0,326.0,3.0034861893268974,1.0,9.66468,19.26192
ps1_hyp,HYP,CALR,100.0,87.22,11,1407,0.0,610.0,4.978766430738119,2.0,18.07421,23.82463
ps1_hyp,HYP,CALY,100.0,76.26,11,1443,0.0,213.0,3.7832316264261077,2.0,8.91435,11.35195
ps1_hyp,HYP,CAMK2N1,100.0,95.94,90,1213,0.0,99.0,2.144371757274983,1.0,3.77579,12.71456
ps1_hyp,HYP,CAPNS1,100.0,90.72,43,1447,0.0,105.0,2.6753854148622898,1.0,5.51956,9.75519
ps1_hyp,HYP,CARTPT,100.0,91.07,26,1329,0.0,118.0,3.0865758754863815,2.0,5.23897,8.57415
ps1_hyp,HYP,CCDC85B,100.0,88.4,23,1477,0.0,260.0,3.765034255265161,2.0,9.19788,14.05623
ps1_hyp,HYP,CD63,100.0,92.26,40,1479,0.0,173.0,2.884010484927916,1.0,6.03133,12.64189
ps1_hyp,HYP,CD74,100.0,83.31,12,1435,0.0,278.0,3.8573416840640222,2.0,10.0454,13.19058
ps1_hyp,HYP,CD81,100.0,91.66,41,1472,0.0,226.0,2.984111221449851,2.0,6.04696,15.67769
ps1_hyp,HYP,CEND1,100.0,89.08,34,1439,0.0,101.0,2.539311119430925,1.0,5.0903,9.67379
ps1_hyp,HYP,CERCAM,100.0,75.5,12,1477,0.0,299.0,2.860432980193459,2.0,7.94087,24.37782
ps1_hyp,HYP,CFL1,100.0,91.12,46,1429,0.0,208.0,2.579136690647482,1.0,5.97286,15.01944
ps1_hyp,HYP,CHCHD2,100.0,90.56,38,1422,0.0,123.0,2.983336600666536,1.0,6.68248,7.77648
ps1_hyp,HYP,CHI3L1,100.0,94.86,59,1348,0.0,75.0,1.9831213307240705,1.0,3.02597,12.09471
ps1_hyp,HYP,CHMP4B,100.0,92.48,41,1395,0.0,246.0,3.360846314810509,1.0,9.31981,12.52634
ps1_hyp,HYP,CIAO2B,100.0,88.61,30,1458,0.0,197.0,3.0054184226369656,1.0,6.84332,11.56935
ps1_hyp,HYP,CIRBP,100.0,92.82,43,1526,0.0,268.0,3.072823779193206,1.0,7.89606,19.50305
ps1_hyp,HYP,CKB,100.0,85.79,25,1427,0.0,200.0,2.9759273875295973,1.0,6.17083,15.06014
ps1_hyp,HYP,CLDND1,100.0,87.55,21,1379,0.0,185.0,2.6678690344062153,1.0,7.51948,14.15644
ps1_hyp,HYP,CLIP3,100.0,91.93,23,1385,0.0,415.0,5.252721617418351,2.0,15.24147,13.12318
ps1_hyp,HYP,CLSTN1,100.0,92.12,47,1253,0.0,216.0,2.747574908385428,1.0,6.9244,15.3169
ps1_hyp,HYP,CLU,100.0,90.46,38,1481,0.0,79.0,2.7797020484171324,2.0,4.61506,7.61367
ps1_hyp,HYP,CNN3,100.0,93.01,29,1388,0.0,219.0,3.8862019914651493,2.0,9.61265,10.07756
ps1_hyp,HYP,CNP,100.0,79.39,12,1384,0.0,268.0,2.56938358165352,1.0,8.02918,19.69658
ps1_hyp,HYP,COX4I1,100.0,85.77,17,1403,0.0,365.0,3.7511045655375552,1.0,13.63071,17.65578
ps1_hyp,HYP,COX5B,100.0,81.79,14,1490,0.0,363.0,3.765464595946302,2.0,11.39478,18.08203
ps1_hyp,HYP,COX6A1,100.0,88.06,13,1442,0.0,346.0,5.966056275122822,2.0,16.55353,12.14664
ps1_hyp,HYP,COX6B1,100.0,83.53,16,1403,0.0,325.0,3.761698674601028,1.0,12.43853,12.53137
ps1_hyp,HYP,COX6C,100.0,84.77,15,1418,0.0,463.0,4.06141975308642,2.0,14.83057,20.11931
ps1_hyp,HYP,COX7A2,100.0,89.07,13,1375,0.0,454.0,6.15463389656938,2.0,21.367,14.32566
ps1_hyp,HYP,COX7C,100.0,89.44,18,1371,0.0,640.0,4.608979278587874,2.0,18.33121,21.47744
ps1_hyp,HYP,COX8A,100.0,88.39,17,1428,0.0,305.0,4.861298332742107,2.0,14.95886,12.57004
ps1_hyp,HYP,CPE,100.0,92.57,31,1476,0.0,199.0,4.306176470588236,2.0,9.7468,8.72346
ps1_hyp,HYP,CRYAB,100.0,91.47,33,1480,0.0,178.0,2.8394913627639156,2.0,5.75574,16.72443
ps1_hyp,HYP,CSRP1,100.0,90.44,28,1426,0.0,244.0,3.356731272917758,2.0,7.77371,14.01181
ps1_hyp,HYP,CST3,100.0,88.54,31,1425,0.0,207.0,2.829547698992692,2.0,5.96278,15.73279
ps1_hyp,HYP,CTSD,100.0,91.59,35,1487,0.0,324.0,3.3946526508226693,2.0,9.80196,17.64781
ps1_hyp,HYP,CTXN1,100.0,93.34,50,1336,0.0,123.0,2.5450460570658278,1.0,5.20373,12.4212
ps1_hyp,HYP,CUTA,100.0,91.25,51,1422,0.0,169.0,2.4134236647234912,1.0,4.55658,13.13774
ps1_hyp,HYP,DAD1,100.0,91.39,58,1495,0.0,84.0,2.157091201285657,1.0,2.81682,9.52109
ps1_hyp,HYP,DBI,100.0,87.08,28,1469,0.0,107.0,2.7743271221532093,2.0,4.50506,8.47948
ps1_hyp,HYP,DBNDD2,100.0,78.67,11,1445,0.0,283.0,2.9460336184016516,2.0,9.55814,19.71669
ps1_hyp,HYP,DDX17,100.0,93.34,54,1398,0.0,223.0,2.737229179089644,1.0,5.95372,16.2181
ps1_hyp,HYP,DDX5,100.0,92.22,49,1442,0.0,187.0,2.7731902510003636,1.0,5.24909,13.44045
ps1_hyp,HYP,DIRAS3,100.0,91.04,34,1471,0.0,199.0,3.285300022306491,2.0,7.41913,13.17672
ps1_hyp,HYP,DKK3,100.0,88.5,30,1350,0.0,81.0,2.908759124087591,1.0,5.49214,6.91408
ps1_hyp,HYP,DNAJA1,100.0,96.57,94,1441,0.0,192.0,2.6084895496660203,1.0,6.01488,14.14095
ps1_hyp,HYP,DNAJB2,100.0,89.14,31,1496,0.0,258.0,3.085385226370135,2.0,6.84901,16.25725
ps1_hyp,HYP,DNER,100.0,91.99,61,1459,0.0,73.0,2.1641665498387774,1.0,3.01737,7.97654
ps1_hyp,HYP,DPYSL2,100.0,94.48,36,1466,0.0,271.0,4.785861358956761,2.0,11.99214,10.30126
ps1_hyp,HYP,DRAP1,100.0,85.21,20,1427,0.0,232.0,3.454265402843602,1.0,9.33452,11.86886
ps1_hyp,HYP,DSTN,100.0,92.04,23,1381,0.0,325.0,4.92170818505338,2.0,14.54909,11.12237
ps1_hyp,HYP,DYNC1LI2,100.0,95.78,58,1233,0.0,334.0,3.1566225165562916,1.0,10.92398,17.55288
ps1_hyp,HYP,DYNLL1,100.0,92.31,44,1447,0.0,466.0,3.0006128702757917,1.0,9.74652,27.24666
ps1_hyp,HYP,ECHS1,100.0,91.77,52,1446,0.0,97.0,2.4621970920840064,1.0,4.47045,9.64979
ps1_hyp,HYP,EDF1,100.0,86.34,19,1460,0.0,333.0,3.7353562005277046,2.0,11.8842,15.50038
ps1_hyp,HYP,EEF1A1,100.0,89.57,25,1423,0.0,262.0,3.5374461206896552,2.0,9.81928,14.28032
ps1_hyp,HYP,EEF1A2,100.0,87.96,26,1424,0.0,199.0,3.083445491251682,1.0,8.15885,12.98825
ps1_hyp,HYP,EEF1B2,100.0,75.9,10,1431,0.0,337.0,3.9231438515081205,2.0,11.4807,14.5529
ps1_hyp,HYP,EEF1G,100.0,90.18,14,1439,0.0,705.0,6.18149646107179,2.0,23.14272,20.07268
ps1_hyp,HYP,EEF2,100.0,93.11,45,1504,0.0,407.0,3.1487674169346196,1.0,9.21382,23.73521
ps1_hyp,HYP,EID1,100.0,89.14,25,1430,0.0,342.0,3.4679206390105644,1.0,10.8639,16.29669
ps1_hyp,HYP,EIF1,100.0,89.71,33,1460,0.0,210.0,3.0850978019762048,1.0,7.21493,13.49124
ps1_hyp,HYP,EIF1B,100.0,95.07,45,1414,0.0,491.0,4.261008296107211,2.0,13.64474,18.73529
ps1_hyp,HYP,EIF4A2,100.0,89.69,35,1358,0.0,130.0,2.8470012239902083,1.0,6.08443,9.97702
ps1_hyp,HYP,EIF4G2,100.0,92.23,54,1401,0.0,121.0,2.5206808510638297,1.0,4.96195,10.60469
ps1_hyp,HYP,ENHO,100.0,89.45,32,1445,0.0,99.0,3.0409920065587213,2.0,4.56386,7.72086
ps1_hyp,HYP,ENO1,100.0,90.25,41,1462,0.0,132.0,2.642416980486135,1.0,5.36047,12.13005
ps1_hyp,HYP,ENO2,100.0,84.47,10,1296,0.0,383.0,5.6855439642324885,2.0,17.92674,11.76183
ps1_hyp,HYP,ENSG00000286190,100.0,90.84,35,1418,0.0,354.0,3.1835971855760774,1.0,9.5265,20.84818
ps1_hyp,HYP,ERMN,100.0,90.07,15,1375,0.0,336.0,3.686188384577843,2.0,12.26269,18.10501
ps1_hyp,HYP,FAIM2,100.0,87.68,27,1356,0.0,193.0,3.1598669623059865,1.0,7.66476,11.15659
ps1_hyp,HYP,FAM107A,100.0,96.66,95,1179,0.0,113.0,2.1761561079925156,1.0,4.47808,14.75092
ps1_hyp,HYP,FAU,100.0,65.72,5,1403,0.0,479.0,5.3463617463617465,2.0,17.98568,17.04729
ps1_hyp,HYP,FBXL16,100.0,94.66,50,923,0.0,123.0,2.3505070993914807,1.0,6.12828,12.25493
ps1_hyp,HYP,FBXO2,100.0,93.9,30,1387,0.0,446.0,5.28053585500394,2.0,15.28637,14.74741
ps1_hyp,HYP,FGF1,100.0,88.91,16,1341,0.0,444.0,4.306431273644389,2.0,14.14891,18.83493
ps1_hyp,HYP,FKBP8,100.0,90.36,41,1444,0.0,122.0,2.723817863397548,1.0,5.51447,8.96048
ps1_hyp,HYP,FLOT1,100.0,90.18,44,1469,0.0,90.0,2.447596532702916,1.0,4.49468,8.57725
