exp,dataset,target,active_source_pcr,sparsity_pcr,total_root_nodes,total_sources,count_min,count_max,count_avg,count_median,count_std,count_skew
ps1_lun,LUN,A2M,100.0,80.03,16,1508,0.0,200.0,3.1542133665421335,2.0,6.93722,13.31264
ps1_lun,LUN,ACADVL,100.0,85.51,20,1503,0.0,118.0,3.5630020656414962,2.0,6.58386,7.86435
ps1_lun,LUN,ACKR1,100.0,95.92,75,1239,0.0,135.0,2.1383681013995246,1.0,4.01474,17.07541
ps1_lun,LUN,ACSL1,100.0,87.7,16,1472,0.0,197.0,3.7672651933701657,2.0,8.64767,12.53007
ps1_lun,LUN,ACTA2,100.0,47.37,3,1517,0.0,520.0,5.488100208768267,3.0,16.25194,18.42999
ps1_lun,LUN,ACTB,100.0,84.88,17,1468,0.0,275.0,3.86380498145204,2.0,10.45446,12.04136
ps1_lun,LUN,ACTG1,100.0,74.89,5,1492,0.0,353.0,7.169781099839829,3.0,16.94229,11.22534
ps1_lun,LUN,ACTN4,100.0,79.87,11,1442,0.0,259.0,4.330097087378641,2.0,11.59382,9.59962
ps1_lun,LUN,ADH1B,100.0,90.4,29,1484,0.0,227.0,3.632687651331719,2.0,9.06228,10.93153
ps1_lun,LUN,ADM,100.0,89.83,40,1539,0.0,122.0,2.4380389651868413,1.0,4.26013,13.99047
ps1_lun,LUN,AEBP1,100.0,93.99,61,1422,0.0,176.0,2.472110408280621,1.0,5.05735,13.62588
ps1_lun,LUN,AGER,100.0,0.0,1,1401,0.0,728.0,7.764453961456103,3.0,25.58364,18.66693
ps1_lun,LUN,AHNAK,100.0,82.45,13,1398,0.0,299.0,4.251175917215428,2.0,12.89118,11.02083
ps1_lun,LUN,ANP32B,100.0,78.1,9,1490,0.0,334.0,4.650323459312223,2.0,12.44874,13.05782
ps1_lun,LUN,ANXA1,100.0,91.42,39,1498,0.0,99.0,2.3684630738522956,1.0,4.8802,10.8229
ps1_lun,LUN,ANXA2,100.0,74.37,7,1464,0.0,266.0,5.173201370384469,2.0,14.55044,10.73431
ps1_lun,LUN,ANXA5,100.0,81.82,6,1460,0.0,392.0,7.7407407407407405,4.0,20.21585,10.27508
ps1_lun,LUN,AOC3,100.0,84.18,15,1420,0.0,294.0,4.15459940652819,2.0,12.25007,12.83241
ps1_lun,LUN,APLP2,100.0,75.56,7,1441,0.0,232.0,5.460446247464503,2.0,14.53189,8.6995
ps1_lun,LUN,APOD,100.0,95.77,76,1373,0.0,38.0,1.9993208059769074,1.0,2.20559,6.08335
ps1_lun,LUN,APOE,100.0,94.73,63,1438,0.0,61.0,2.1829038340666247,1.0,3.15675,9.04865
ps1_lun,LUN,APP,100.0,81.1,15,1451,0.0,224.0,3.5667396061269145,2.0,8.88312,11.26155
ps1_lun,LUN,AQP1,100.0,92.72,54,1522,0.0,74.0,2.3567251461988303,1.0,3.50384,8.59465
ps1_lun,LUN,ARF1,100.0,78.66,6,1423,0.0,306.0,6.846871569703622,3.0,20.13825,9.1161
ps1_lun,LUN,ARF4,100.0,52.99,3,1418,0.0,316.0,6.2475,2.0,18.92021,10.14242
ps1_lun,LUN,ARF5,100.0,77.11,10,1501,0.0,265.0,4.175203725261932,2.0,10.87636,11.83622
ps1_lun,LUN,ARGLU1,100.0,86.5,18,1471,0.0,202.0,3.8519865696698377,2.0,9.40411,11.47092
ps1_lun,LUN,ARHGDIA,100.0,81.15,13,1412,0.0,245.0,4.000866801502456,2.0,11.84306,12.49896
ps1_lun,LUN,ARHGDIB,100.0,87.44,9,1485,0.0,258.0,8.317640047675804,4.0,17.30174,7.70728
ps1_lun,LUN,ARL6IP4,100.0,77.2,7,1423,0.0,480.0,5.416556583003082,2.0,16.3354,15.08781
ps1_lun,LUN,ARPC2,100.0,87.54,24,1504,0.0,148.0,3.3623220640569396,2.0,6.98175,9.41648
ps1_lun,LUN,ARPC3,100.0,85.0,12,1421,0.0,474.0,4.790461297888975,2.0,14.78398,17.60264
ps1_lun,LUN,ATF4,100.0,61.08,5,1501,0.0,312.0,4.826771653543307,2.0,13.00894,12.13051
ps1_lun,LUN,ATN1,100.0,82.23,17,1410,0.0,177.0,3.3054707677858652,1.0,7.91685,10.583
ps1_lun,LUN,ATP1B3,100.0,92.72,34,1487,0.0,346.0,3.3447432762836184,2.0,8.50405,21.73482
ps1_lun,LUN,ATP5F1B,100.0,92.61,32,1283,0.0,223.0,3.2333553065260383,1.0,10.14332,12.49119
ps1_lun,LUN,ATP6V0C,100.0,92.43,48,1476,0.0,187.0,2.8879567486950037,1.0,6.1937,11.9185
ps1_lun,LUN,ATP6V0E1,100.0,88.09,24,1442,0.0,222.0,3.467248908296943,1.0,8.54295,11.98776
ps1_lun,LUN,AUP1,100.0,76.91,10,1420,0.0,206.0,4.115279048490393,2.0,10.5797,9.28022
ps1_lun,LUN,B2M,100.0,87.99,20,1467,0.0,289.0,4.12113475177305,2.0,10.31715,13.65471
ps1_lun,LUN,BCL3,100.0,68.1,7,1458,0.0,193.0,3.666769041769042,2.0,9.78672,10.81813
ps1_lun,LUN,BCL6,100.0,90.46,25,1496,0.0,198.0,3.5901317633865992,2.0,8.1206,10.91479
ps1_lun,LUN,BGN,100.0,67.46,6,1429,0.0,450.0,4.518637992831541,2.0,12.50454,20.64688
ps1_lun,LUN,BHLHE40,100.0,78.26,10,1508,0.0,215.0,4.3250991155840195,2.0,9.69881,11.27675
ps1_lun,LUN,BRK1,100.0,82.72,16,1473,0.0,203.0,3.5093320235756384,2.0,8.82928,11.13351
ps1_lun,LUN,BSG,100.0,78.11,5,1481,0.0,431.0,8.58359037631092,4.0,19.80559,10.75178
ps1_lun,LUN,BST2,100.0,0.0,1,1480,0.0,333.0,8.387837837837838,4.0,18.91441,8.94919
ps1_lun,LUN,BTF3,100.0,52.86,3,1427,0.0,272.0,5.466303270564916,2.0,14.97262,9.90076
ps1_lun,LUN,BTG2,100.0,20.98,2,1523,0.0,357.0,5.13876194432904,3.0,11.48785,17.57406
ps1_lun,LUN,C11orf96,100.0,87.05,13,1491,0.0,255.0,4.816334661354582,2.0,12.76634,11.71243
ps1_lun,LUN,C1QB,100.0,78.1,5,1507,0.0,459.0,7.585454545454546,4.0,19.49164,13.33683
ps1_lun,LUN,C1QC,100.0,79.22,7,1501,0.0,287.0,6.390746678882272,3.0,15.85738,10.164
ps1_lun,LUN,C1R,100.0,86.76,21,1404,0.0,122.0,3.415983606557377,2.0,6.59764,7.27307
ps1_lun,LUN,C1S,100.0,80.92,16,1466,0.0,149.0,3.2625111706881142,2.0,6.32764,9.80645
ps1_lun,LUN,C3,100.0,91.6,31,1458,0.0,87.0,2.9480895915678524,2.0,5.57651,8.53275
ps1_lun,LUN,C7,100.0,89.36,30,1531,0.0,153.0,2.911842912661076,2.0,5.58409,10.95247
ps1_lun,LUN,CALD1,100.0,0.0,1,1406,0.0,498.0,6.879800853485064,3.0,21.66863,14.23151
ps1_lun,LUN,CALM2,100.0,65.9,5,1399,0.0,345.0,5.381551362683438,2.0,16.32044,12.44454
ps1_lun,LUN,CALR,100.0,67.29,5,1449,0.0,479.0,4.476371308016877,2.0,14.83657,20.48947
ps1_lun,LUN,CAP1,100.0,76.4,13,1452,0.0,180.0,3.281705948372615,1.0,7.68986,9.70507
ps1_lun,LUN,CAPNS1,100.0,79.87,12,1489,0.0,274.0,4.016402557686962,2.0,11.09664,13.44388
ps1_lun,LUN,CAV1,100.0,86.4,16,1460,0.0,298.0,4.05350960025181,2.0,10.94276,13.33147
ps1_lun,LUN,CAVIN1,100.0,87.42,16,1387,0.0,305.0,4.6833810888252145,2.0,13.76463,10.54423
ps1_lun,LUN,CCL2,100.0,91.28,24,1520,0.0,172.0,3.7340458975165043,2.0,7.54617,10.63991
ps1_lun,LUN,CCL21,100.0,89.07,29,1476,0.0,221.0,2.7475416844805474,2.0,6.21203,17.03674
ps1_lun,LUN,CCN1,100.0,92.47,29,1494,0.0,314.0,3.284881938055811,2.0,7.69465,24.12684
ps1_lun,LUN,CCN2,100.0,89.38,28,1507,0.0,174.0,2.775546630968318,2.0,5.93739,14.343
ps1_lun,LUN,CCNI,100.0,71.3,4,1492,0.0,272.0,7.585522475189726,4.0,16.4316,8.92813
ps1_lun,LUN,CD151,100.0,87.46,25,1495,0.0,184.0,3.3282116944088775,2.0,6.73575,10.08293
ps1_lun,LUN,CD163,100.0,87.72,22,1458,0.0,273.0,3.376237623762376,2.0,8.71492,14.60442
ps1_lun,LUN,CD46,100.0,87.99,32,1471,0.0,89.0,2.5189313517338996,1.0,4.23724,8.14193
ps1_lun,LUN,CD59,100.0,76.5,9,1516,0.0,171.0,4.1765439800374295,2.0,9.24799,10.87728
ps1_lun,LUN,CD63,100.0,65.32,7,1473,0.0,393.0,3.9482662192393736,2.0,11.33023,17.23606
ps1_lun,LUN,CD68,100.0,79.66,11,1477,0.0,203.0,4.2,2.0,10.70836,10.22884
ps1_lun,LUN,CD74,100.0,81.5,8,1510,0.0,389.0,6.314541387024608,3.0,15.71858,13.2246
ps1_lun,LUN,CD81,100.0,83.8,20,1476,0.0,232.0,3.239698807780799,2.0,7.26381,16.47298
ps1_lun,LUN,CDC37,100.0,74.26,9,1419,0.0,251.0,3.9860054761180406,2.0,11.21821,12.12847
ps1_lun,LUN,CDKN1A,100.0,86.94,16,1447,0.0,335.0,3.5355607012901094,2.0,10.07327,17.81545
ps1_lun,LUN,CEACAM6,100.0,82.64,10,1495,0.0,340.0,5.215028901734104,2.0,15.2622,14.68658
ps1_lun,LUN,CEBPB,100.0,65.2,4,1487,0.0,383.0,6.0202898550724635,3.0,13.38691,14.98219
ps1_lun,LUN,CEBPD,100.0,41.54,3,1519,0.0,435.0,5.256756756756757,3.0,13.08979,21.26632
ps1_lun,LUN,CFD,100.0,81.98,16,1489,0.0,82.0,3.3216115510013973,2.0,5.15392,6.51949
ps1_lun,LUN,CFL1,100.0,77.52,7,1394,0.0,471.0,5.134913400182316,2.0,15.87207,16.29224
ps1_lun,LUN,CHCHD2,100.0,73.79,9,1446,0.0,209.0,4.003518029903254,2.0,10.50811,10.09511
ps1_lun,LUN,CHMP4B,100.0,79.57,15,1508,0.0,117.0,3.249729495780134,2.0,6.42271,9.51446
ps1_lun,LUN,CLDN5,100.0,82.76,16,1538,0.0,154.0,3.4859769031345746,2.0,6.65092,10.89217
ps1_lun,LUN,CLEC3B,100.0,88.9,12,1511,0.0,311.0,6.879284649776453,3.0,14.81808,9.73093
ps1_lun,LUN,CLIC1,100.0,78.92,9,1489,0.0,446.0,4.568849557522124,2.0,13.61073,18.07088
ps1_lun,LUN,CLIC4,100.0,78.94,12,1385,0.0,148.0,3.7025714285714284,2.0,9.77766,8.64944
ps1_lun,LUN,CLK1,100.0,79.23,12,1430,0.0,213.0,3.8128507295173963,2.0,9.2777,10.77443
ps1_lun,LUN,CLU,100.0,89.99,31,1521,0.0,201.0,2.9953370072064436,2.0,6.30845,13.52263
ps1_lun,LUN,CNBP,100.0,86.03,20,1411,0.0,215.0,3.6308043643745243,1.0,9.12397,10.91671
ps1_lun,LUN,CNN2,100.0,85.65,17,1542,0.0,189.0,3.8192450824029773,2.0,7.87956,10.80303
