exp,dataset,target,active_source_pcr,sparsity_pcr,total_root_nodes,total_sources,count_min,count_max,count_avg,count_median,count_std,count_skew
ps1_mus,MUS,ACADVL,100.0,78.44,5,1397,0.0,706.0,7.277556440903054,3.0,25.54672,18.14032
ps1_mus,MUS,ACO2,100.0,61.2,4,1346,0.0,432.0,5.394447103877454,2.0,17.47932,15.52475
ps1_mus,MUS,ACSL1,100.0,57.02,5,1377,0.0,350.0,4.320040554241298,2.0,11.70148,15.46342
ps1_mus,MUS,ACTA1,100.0,80.98,13,1451,0.0,203.0,3.8809590186785616,2.0,9.29623,11.14792
ps1_mus,MUS,ACTB,100.0,92.94,31,1449,0.0,244.0,3.8115348250866687,2.0,10.28499,12.14364
ps1_mus,MUS,ACTC1,100.0,96.35,80,985,0.0,57.0,1.9781097984711604,1.0,2.73052,8.01195
ps1_mus,MUS,ACTG1,100.0,90.28,29,1459,0.0,199.0,3.2712235465823403,2.0,7.67914,12.33551
ps1_mus,MUS,ACTN2,100.0,77.28,12,1428,0.0,262.0,3.565630619059851,1.0,10.19721,13.84699
ps1_mus,MUS,ACTN3,100.0,69.48,4,1504,0.0,393.0,6.789760348583878,4.0,15.09893,13.815
ps1_mus,MUS,ADRM1,100.0,75.76,7,1218,0.0,322.0,4.089017900338655,1.0,16.09842,12.01077
ps1_mus,MUS,ADSS1,100.0,79.02,10,1453,0.0,221.0,3.7422105608396197,2.0,9.69031,11.02472
ps1_mus,MUS,AHNAK,100.0,87.99,30,1444,0.0,114.0,2.8494520284560663,1.0,5.62692,9.20061
ps1_mus,MUS,AK1,100.0,70.55,8,1447,0.0,217.0,3.748313288354356,2.0,10.41709,12.00035
ps1_mus,MUS,AKR1B1,100.0,82.54,8,1414,0.0,332.0,6.130632911392405,2.0,17.33842,10.12409
ps1_mus,MUS,ALDOA,100.0,86.07,16,1521,0.0,140.0,4.287695485393922,2.0,8.86412,8.65483
ps1_mus,MUS,ALKBH5,100.0,78.24,5,1454,0.0,370.0,8.04551201011378,4.0,20.71977,10.65236
ps1_mus,MUS,ALPK3,100.0,92.33,41,1543,0.0,97.0,2.9290867862296435,2.0,5.01479,7.77975
ps1_mus,MUS,AMPD1,100.0,49.25,4,1397,0.0,333.0,4.615655853314528,2.0,13.31353,14.60632
ps1_mus,MUS,ANKRD1,100.0,94.74,57,1506,0.0,113.0,2.2132890365448503,1.0,3.59332,15.92704
ps1_mus,MUS,ANKRD2,100.0,91.96,40,1370,0.0,92.0,2.292622020431328,1.0,3.98419,10.79104
ps1_mus,MUS,APOBEC2,100.0,78.9,6,1268,0.0,362.0,6.049221183800623,2.0,20.17826,10.61045
ps1_mus,MUS,APOD,100.0,91.42,23,1466,0.0,159.0,3.8215767634854774,2.0,8.58708,9.51824
ps1_mus,MUS,ARF1,100.0,65.83,3,1242,0.0,307.0,6.629222309505106,2.0,20.86912,9.0575
ps1_mus,MUS,ARL2,100.0,76.91,5,1366,0.0,426.0,5.587824984147114,3.0,18.78443,13.51583
ps1_mus,MUS,ARL6IP4,100.0,74.84,6,1388,0.0,632.0,5.386634844868735,2.0,17.03626,25.03793
ps1_mus,MUS,ASB2,100.0,87.38,18,1479,0.0,283.0,4.178029175349806,2.0,10.79619,14.07233
ps1_mus,MUS,ATF4,100.0,84.1,12,1485,0.0,520.0,4.820042342978123,2.0,13.84561,20.99307
ps1_mus,MUS,ATP1A2,100.0,87.13,10,1496,0.0,256.0,6.912207792207792,3.0,15.88141,8.7714
ps1_mus,MUS,ATP2A1,100.0,49.13,4,1412,0.0,273.0,4.4883397145840584,2.0,12.57841,11.20099
ps1_mus,MUS,ATP2A2,100.0,49.31,2,1439,0.0,495.0,7.627141877998629,3.0,25.35561,12.44429
ps1_mus,MUS,ATP5F1A,100.0,0.0,1,1184,0.0,520.0,5.642736486486487,2.0,27.791,14.62408
ps1_mus,MUS,ATP5F1B,100.0,0.0,1,1358,0.0,546.0,6.82179675994109,3.0,27.09775,14.90747
ps1_mus,MUS,ATP5F1C,100.0,49.3,2,1435,0.0,341.0,8.014432989690722,3.0,20.31935,9.9849
ps1_mus,MUS,ATP5F1D,100.0,62.55,5,1429,0.0,305.0,4.8258594917787745,2.0,13.55698,12.94302
ps1_mus,MUS,ATP5MC1,100.0,50.74,3,1356,0.0,373.0,5.723053892215569,2.0,16.55893,11.36676
ps1_mus,MUS,ATP5MC2,100.0,81.19,11,1351,0.0,474.0,4.11516452074392,2.0,15.3539,19.4178
ps1_mus,MUS,ATP5MC3,100.0,0.0,1,1276,0.0,627.0,7.00705329153605,2.0,24.06452,15.85227
ps1_mus,MUS,ATP5ME,100.0,68.69,5,1386,0.0,575.0,5.1165898617511525,2.0,21.01384,20.33833
ps1_mus,MUS,ATP5MK,100.0,92.73,17,1277,0.0,542.0,5.340088663711209,2.0,20.71328,18.29973
ps1_mus,MUS,ATP5PD,100.0,21.25,2,1341,0.0,474.0,4.640625,2.0,18.55814,15.06411
ps1_mus,MUS,ATP5PF,100.0,46.89,2,1397,0.0,407.0,7.538409703504043,3.0,21.62235,10.94937
ps1_mus,MUS,ATP5PO,100.0,54.65,4,1317,0.0,396.0,4.190037672666388,1.0,16.69558,15.23308
ps1_mus,MUS,ATP6V0C,100.0,82.69,10,1404,0.0,363.0,4.878189300411522,2.0,14.55007,13.70448
ps1_mus,MUS,B2M,100.0,88.28,25,1434,0.0,150.0,3.018320247442303,1.0,7.48172,11.89614
ps1_mus,MUS,BAG3,100.0,69.09,7,1474,0.0,164.0,4.1059893383505806,2.0,9.12277,8.93716
ps1_mus,MUS,BCL6,100.0,87.6,26,1509,0.0,250.0,2.891036184210526,1.0,7.10261,19.03757
ps1_mus,MUS,BHLHE40,100.0,83.49,12,1472,0.0,258.0,4.107644840589647,2.0,10.21477,12.97349
ps1_mus,MUS,BIN1,100.0,79.42,11,1491,0.0,205.0,4.2752592592592595,2.0,10.27704,10.77103
ps1_mus,MUS,BRK1,100.0,80.94,11,1414,0.0,242.0,4.285762483130904,2.0,10.41962,10.00221
ps1_mus,MUS,BSG,100.0,84.79,21,1491,0.0,185.0,2.8492230155396894,1.0,5.90058,12.52634
ps1_mus,MUS,BTBD1,100.0,82.78,8,1479,0.0,450.0,5.882670594010801,3.0,16.02479,14.60421
ps1_mus,MUS,BTF3,100.0,65.34,5,1255,0.0,364.0,4.315862068965517,2.0,14.49756,13.80204
ps1_mus,MUS,BTG2,100.0,88.06,11,1518,0.0,274.0,6.203712995484195,3.0,12.20714,11.92159
ps1_mus,MUS,C1orf43,100.0,81.14,11,1338,0.0,302.0,4.264409221902017,2.0,13.20338,11.87814
ps1_mus,MUS,CA3,100.0,66.77,7,1439,0.0,332.0,3.693456827009262,2.0,10.45376,17.56048
ps1_mus,MUS,CACNG1,100.0,85.82,17,1533,0.0,129.0,4.1301759133964815,2.0,7.89317,7.63028
ps1_mus,MUS,CALM1,100.0,85.99,21,1503,0.0,144.0,3.11349762604567,2.0,6.3167,10.37738
ps1_mus,MUS,CAP2,100.0,88.0,17,1454,0.0,305.0,4.123019885406134,2.0,12.82781,14.93568
ps1_mus,MUS,CAPNS1,100.0,79.0,9,1377,0.0,470.0,4.201767870868562,2.0,15.23802,17.11339
ps1_mus,MUS,CASQ1,100.0,70.51,7,1339,0.0,372.0,3.991316931982634,1.0,14.06391,14.88764
ps1_mus,MUS,CCT7,100.0,79.22,11,1296,0.0,210.0,4.147535449020932,2.0,11.43302,10.0587
ps1_mus,MUS,CD63,100.0,83.33,13,1368,0.0,341.0,3.9197031039136303,2.0,12.05161,14.11894
ps1_mus,MUS,CDKN1A,100.0,88.58,24,1468,0.0,180.0,2.878418697165589,1.0,7.40425,14.46506
ps1_mus,MUS,CEBPB,100.0,48.37,3,1394,0.0,482.0,4.722556739231125,2.0,15.20779,18.97332
ps1_mus,MUS,CEBPD,100.0,69.79,8,1424,0.0,244.0,3.2643811737362,1.0,9.13402,12.78367
ps1_mus,MUS,CFL2,100.0,74.21,6,1322,0.0,321.0,5.531769305962855,2.0,17.98774,11.12607
ps1_mus,MUS,CHCHD10,100.0,83.87,11,1477,0.0,512.0,5.0137352155665775,2.0,15.76615,18.78782
ps1_mus,MUS,CHCHD2,100.0,71.53,6,1406,0.0,417.0,4.905495420482931,2.0,14.29812,15.85748
ps1_mus,MUS,CHMP1B,100.0,85.28,9,1382,0.0,421.0,5.422719825232114,2.0,17.21241,13.6684
ps1_mus,MUS,CHMP4B,100.0,84.16,8,1390,0.0,331.0,6.558205565019875,3.0,18.84613,9.34107
ps1_mus,MUS,CIAO2B,100.0,76.01,10,1462,0.0,305.0,3.7510692899914457,2.0,11.1868,17.12109
ps1_mus,MUS,CKM,100.0,90.94,27,1464,0.0,163.0,4.1768156424581,2.0,9.47604,8.2195
ps1_mus,MUS,CKMT2,100.0,64.94,3,1349,0.0,420.0,7.313601127554616,3.0,21.86771,11.55975
ps1_mus,MUS,CLTB,100.0,83.96,16,1362,0.0,228.0,3.4394849785407726,1.0,9.05354,11.36009
ps1_mus,MUS,CMYA5,100.0,80.95,8,1401,0.0,462.0,5.409367681498829,2.0,18.93856,15.62275
ps1_mus,MUS,CNBP,100.0,76.17,8,1441,0.0,305.0,4.6447033127047685,2.0,13.12774,11.91928
ps1_mus,MUS,COQ8A,100.0,83.13,19,1504,0.0,217.0,3.0638871603401783,2.0,7.45215,15.58428
ps1_mus,MUS,CORO6,100.0,84.13,21,1466,0.0,185.0,2.9877225291589933,1.0,6.6233,12.78999
ps1_mus,MUS,COX4I1,100.0,61.51,4,1470,0.0,403.0,5.317277949624392,3.0,18.31241,15.76677
ps1_mus,MUS,COX5A,100.0,33.03,2,1432,0.0,452.0,6.4426485922836285,3.0,17.6376,13.16667
ps1_mus,MUS,COX5B,100.0,0.0,1,1426,0.0,610.0,8.127629733520337,3.0,26.86127,14.28268
ps1_mus,MUS,COX6A2,100.0,79.3,14,1465,0.0,147.0,3.3538280329799766,1.0,7.46955,8.53961
ps1_mus,MUS,COX6B1,100.0,65.62,4,1450,0.0,421.0,5.839518555667001,3.0,20.35311,14.96658
ps1_mus,MUS,COX6C,100.0,0.0,1,1387,0.0,404.0,8.152847873107426,3.0,20.90887,11.37024
ps1_mus,MUS,COX7A1,100.0,91.71,31,1393,0.0,399.0,3.311347121296814,1.0,10.97188,22.84657
ps1_mus,MUS,COX7C,100.0,0.0,1,1213,0.0,809.0,5.130255564715581,2.0,29.80245,20.82545
ps1_mus,MUS,COX8A,100.0,81.0,12,1448,0.0,377.0,4.018479248712511,2.0,13.29626,15.93797
ps1_mus,MUS,CRYAB,100.0,95.21,72,1327,0.0,47.0,2.0050262237762237,1.0,2.68701,6.99101
ps1_mus,MUS,CS,100.0,73.63,4,1371,0.0,407.0,7.165283540802213,3.0,21.7776,10.32628
ps1_mus,MUS,CSDE1,100.0,60.99,4,1279,0.0,308.0,4.758517034068136,2.0,15.22799,10.74784
ps1_mus,MUS,CSRP3,100.0,95.48,38,1323,0.0,342.0,3.5796654929577465,2.0,10.66713,19.16423
ps1_mus,MUS,CTDNEP1,100.0,62.96,6,1411,0.0,187.0,4.412308673469388,2.0,11.86644,8.60977
ps1_mus,MUS,CTSD,100.0,82.12,9,1411,0.0,281.0,5.183619550858652,2.0,14.64767,10.28855
ps1_mus,MUS,CUTC,100.0,67.84,4,1397,0.0,372.0,6.527545909849749,3.0,21.37606,11.30616
ps1_mus,MUS,CYB5R1,100.0,89.01,23,1448,0.0,200.0,3.74672131147541,2.0,9.36609,10.19815
ps1_mus,MUS,CYC1,100.0,48.74,2,1312,0.0,780.0,5.855762081784387,2.0,28.66318,19.35643
ps1_mus,MUS,DCAF6,100.0,69.28,7,1410,0.0,265.0,4.133245382585752,2.0,12.68759,11.44108
ps1_mus,MUS,DDIT4,100.0,84.8,9,1506,0.0,394.0,5.772815533980583,3.0,14.001,15.6562
ps1_mus,MUS,DDIT4L,100.0,95.15,77,1357,0.0,47.0,1.9216808048924838,1.0,2.31133,8.19483
ps1_mus,MUS,DDN,100.0,90.84,35,1471,0.0,97.0,2.5451462484103433,1.0,4.1158,9.84021
ps1_mus,MUS,DDX17,100.0,87.57,25,1335,0.0,124.0,3.3149264528574873,1.0,7.15778,7.95824
ps1_mus,MUS,DES,100.0,75.85,10,1495,0.0,402.0,3.9664912766546663,2.0,10.83883,19.66352
ps1_mus,MUS,DHRS7,100.0,87.85,18,1390,0.0,270.0,4.013162224415926,2.0,12.74662,12.8527
ps1_mus,MUS,DUSP1,100.0,92.98,19,1504,0.0,452.0,5.402791625124626,3.0,15.93854,21.2931
ps1_mus,MUS,DUSP26,100.0,71.74,8,1383,0.0,204.0,4.184521905980173,2.0,11.23096,10.5421
ps1_mus,MUS,DVL1,100.0,79.8,8,1396,0.0,337.0,5.3138297872340425,2.0,16.48401,12.16815
ps1_mus,MUS,ECH1,100.0,86.44,18,1345,0.0,582.0,3.280316879951249,1.0,14.31533,25.58851
ps1_mus,MUS,ECHS1,100.0,65.76,3,1391,0.0,353.0,7.927921623512946,3.0,25.06718,9.30566
ps1_mus,MUS,ECPAS,100.0,89.23,23,1205,0.0,239.0,3.809651474530831,1.0,11.09334,9.99993
ps1_mus,MUS,EDF1,100.0,65.04,5,1369,0.0,197.0,4.78395319682407,2.0,12.2794,9.15886
ps1_mus,MUS,EEF1A1,100.0,82.61,14,1446,0.0,163.0,3.4977272727272726,2.0,8.07043,10.64854
ps1_mus,MUS,EEF1A2,100.0,76.52,10,1525,0.0,251.0,3.751466070929908,2.0,9.67167,16.05118
ps1_mus,MUS,EEF1B2,100.0,67.91,6,1493,0.0,397.0,4.533217391304348,2.0,14.17255,16.35759
ps1_mus,MUS,EEF1G,100.0,0.0,1,1421,0.0,653.0,7.455313159746657,3.0,24.32909,17.18135
ps1_mus,MUS,EEF2,100.0,79.38,7,1420,0.0,521.0,5.419512195121952,2.0,19.18919,18.83608
ps1_mus,MUS,EGLN1,100.0,70.56,8,1300,0.0,299.0,4.035597648595689,1.0,12.50216,13.33674
ps1_mus,MUS,EHBP1L1,100.0,91.23,29,1471,0.0,204.0,3.6754878374766107,2.0,9.24533,11.73106
ps1_mus,MUS,EIF1,100.0,91.45,40,1479,0.0,156.0,2.9776635698754697,1.0,6.65616,10.0378
