exp,dataset,target,active_source_pcr,sparsity_pcr,total_root_nodes,total_sources,count_min,count_max,count_avg,count_median,count_std,count_skew
ps1_thy,THY,A2M,100.0,93.76,36,1437,0.0,295.0,3.820433436532508,2.0,11.55059,14.27208
ps1_thy,THY,ACADVL,100.0,91.19,26,1535,0.0,274.0,3.908444697185101,2.0,10.11518,15.68635
ps1_thy,THY,ACTA2,100.0,95.74,46,1338,0.0,301.0,3.1659671880961464,1.0,9.21408,20.43279
ps1_thy,THY,ACTB,100.0,75.37,11,1451,0.0,184.0,3.2928008140422285,1.0,8.15164,10.75152
ps1_thy,THY,ACTG1,100.0,85.49,24,1509,0.0,111.0,2.822454804947669,1.0,5.5451,8.40344
ps1_thy,THY,ACTN4,100.0,96.09,62,1334,0.0,267.0,3.1372488408037094,1.0,8.66268,16.35607
ps1_thy,THY,AEBP1,100.0,80.0,11,1406,0.0,260.0,3.9932104752667312,2.0,11.44535,12.22151
ps1_thy,THY,ALDH1A1,100.0,84.27,15,1445,0.0,210.0,4.199120234604106,2.0,10.08032,9.45877
ps1_thy,THY,ANXA2,100.0,72.96,4,1436,0.0,608.0,7.714745653573728,3.0,24.24059,14.24537
ps1_thy,THY,ANXA5,100.0,73.66,9,1450,0.0,275.0,3.8399767238871108,2.0,10.57035,13.52938
ps1_thy,THY,APLP2,100.0,80.49,8,1358,0.0,408.0,5.160849056603774,2.0,16.99145,12.57176
ps1_thy,THY,APMAP,100.0,81.54,10,1361,0.0,239.0,4.896140071627537,2.0,13.94623,8.66591
ps1_thy,THY,APOD,100.0,89.54,25,1524,0.0,249.0,3.221636546184739,2.0,7.41016,17.60514
ps1_thy,THY,APOE,100.0,93.75,39,1480,0.0,173.0,2.972291493488501,2.0,6.28238,15.28848
ps1_thy,THY,APP,100.0,80.55,9,1344,0.0,299.0,5.136421589460263,2.0,16.48545,10.79763
ps1_thy,THY,AQP1,100.0,93.32,43,1497,0.0,305.0,2.8619567743434815,2.0,7.45693,23.51366
ps1_thy,THY,ARF1,100.0,67.66,6,1321,0.0,432.0,4.367538041357784,2.0,15.9115,14.83887
ps1_thy,THY,ARF5,100.0,72.76,7,1465,0.0,339.0,4.873970640887934,2.0,13.56392,12.96199
ps1_thy,THY,ARHGDIA,100.0,74.03,7,1319,0.0,432.0,4.72977481234362,2.0,14.97266,15.13521
